id,text,female,male,family,marriage,love,wealth,emotion,scandal,duty,class,society
1,She was her,1,0,0,0,0,0,0,0,0,0,0
2,She can't,1,0,0,0,0,0,0,0,0,0,0
3,She has,1,0,0,0,0,0,0,0,0,0,0
4,She said,1,0,0,0,0,0,0,0,0,0,0
5,the ladies were,1,0,0,0,0,0,0,0,0,0,0
6,her great beauty,1,0,0,0,0,0,0,0,0,0,0
7,a lady,1,0,0,0,0,0,0,0,0,0,0
8,the women ae,1,0,0,0,0,0,0,0,0,0,0
9,a woman of ,1,0,0,0,0,0,0,0,0,0,0
10,a beautiful woman,1,0,0,0,0,0,0,0,0,0,0
11,young ladies,1,0,0,0,0,0,0,0,0,0,0
12,i said to her,1,0,0,0,0,0,0,0,0,0,0
13,to the girls,1,0,0,0,0,0,0,0,0,0,0
14,young girl is,1,0,0,0,0,0,0,0,0,0,0
15,the lady in he street,1,0,0,0,0,0,0,0,0,0,0
16,she wore a dress,1,0,0,0,0,0,0,0,0,0,0
17,a governess is,1,0,0,0,0,0,0,0,0,0,0
18,her house was,1,0,0,0,0,0,0,0,0,0,0
19,a most accomplished young woman,1,0,0,0,0,0,0,0,0,0,0
20,the women of the,1,0,0,0,0,0,0,0,0,0,0
21,her manners were,1,0,0,0,0,0,0,0,0,0,0
22,the ladies have,1,0,0,0,0,0,0,0,0,0,0
23,a proper lady,1,0,0,0,0,0,0,0,0,0,0
24,sensible woman,1,0,0,0,0,0,0,0,0,0,0
25,the lady went to,1,0,0,0,0,0,0,0,0,0,0
26,bore herself with grace,1,0,0,0,0,0,0,0,0,0,0
27,the countenance was not,1,0,0,0,0,0,0,0,0,0,0
28,a very genteel lady,1,0,0,0,0,0,0,0,0,0,0
29,She was feeling a,1,0,0,0,0,0,1,0,0,0,0
30,she had a stron desire,1,0,0,0,0,0,1,0,0,0,0
31,she should,1,0,0,0,0,0,0,0,1,0,0
32,ought not to herself,1,0,0,0,0,0,0,0,1,0,0
33,her majesty is expected to,1,0,0,0,0,0,0,0,1,0,0
