layer,neuron,primary_concept,primary_AP,secondary_concept,secondary_AP,polarity_score,polarity_flag
1,236,female,0.2749996833746353,marriage,0.2393106950382492,0.1297782883552934,two-strong
1,907,male,0.2781716432417868,female,0.2598542308265377,0.0658493156812475,two-strong
1,1406,marriage,0.2653005061673792,female,0.2176060589429778,0.1797751829939427,two-strong
1,1829,family,0.2488013847902828,female,0.2191260365962632,0.1192732431925971,two-strong
2,285,female,0.2833871361915925,marriage,0.2471575179779514,0.1278449635106301,two-strong
2,301,male,0.2326200115673799,,,0.9999999957011436,dominant
2,422,female,0.2929476977114318,marriage,0.2308549150654413,0.2119585950636021,leaning
2,999,male,0.2483585865261031,family,0.2223476205386927,0.104731494274087,two-strong
2,1240,male,0.2697513013302486,family,0.2243998668546366,0.1681231344718016,two-strong
2,1466,male,0.5644882688378587,,,0.999999998228484,dominant
2,1580,male,0.3091612752893118,family,0.2928028316446558,0.0529123305512163,two-strong
2,1758,female,0.2407881016409637,,,0.9999999958469707,dominant
2,2583,family,0.24953164928252,marriage,0.2409928564727326,0.0342192775951257,two-strong
3,181,female,0.3723493676680713,male,0.3109705138074241,0.1648421053598268,two-strong
3,221,marriage,0.2357585139318885,family,0.2113117077549643,0.1036942660755518,two-strong
3,293,marriage,0.2641393493560676,emotion,0.1892587158954296,0.2834891255683663,leaning
3,344,male,0.2697513013302486,family,0.2101947577276525,0.2207831550324927,leaning
3,383,female,0.2835864668030067,,,0.9999999964737386,dominant
3,994,society,0.271496924128503,scandal,0.1570774762994442,0.4214392033165848,leaning
3,1137,female,0.2407881016409637,,,0.9999999958469707,dominant
3,1230,male,0.2642452575565149,scandal,0.1392841229858012,0.4728983038459624,leaning
3,1355,female,0.2766185536834787,marriage,0.2340606418005798,0.1538505323028524,two-strong
3,1578,female,0.2802738176153466,marriage,0.2314773862761478,0.174102709915149,two-strong
3,1838,family,0.2573411174103319,female,0.2373952087077741,0.077507663080697,two-strong
3,1896,family,0.3315259574156458,male,0.26196826884186,0.2098106854322969,leaning
3,2130,male,0.5931640624343186,love,0.1566786194489208,0.735859553692821,dominant
3,2388,female,0.2985314149095457,family,0.2570432895129564,0.138974068341136,two-strong
3,2552,family,0.274115232453377,marriage,0.2460858027421495,0.102254184702197,two-strong
3,2569,female,0.3077586827454185,marriage,0.2346079570907946,0.2376885836798516,leaning
3,3078,emotion,0.2471037961024946,male,0.2178895903444098,0.1182264542295448,two-strong
3,3080,female,0.3277080374334725,family,0.297183148306345,0.0931465986401926,two-strong
3,3348,male,0.2326200115673799,,,0.9999999957011436,dominant
3,3419,female,0.5214449278772135,family,0.3246799173551387,0.3773457169211589,leaning
4,10,female,0.3509168237624777,family,0.296089705648193,0.156239639268921,two-strong
4,52,male,0.3203491896267827,emotion,0.3063566006572129,0.0436791769075254,two-strong
4,76,marriage,0.3788278561452186,scandal,0.1572724990710201,0.5848444165215342,dominant
4,117,female,0.217935318278273,male,0.212643650917469,0.0242809076487839,two-strong
4,208,family,0.3856691013640105,male,0.3140853527455205,0.1856092390593589,two-strong
4,241,female,0.2705907103525236,marriage,0.2398761483900803,0.1135092990033518,two-strong
4,484,female,0.2886377399188872,male,0.2122956118000273,0.2644911503111906,leaning
4,525,female,0.3665616940053875,family,0.2872190752968764,0.2164509270597545,leaning
4,560,love,0.2495549198958556,wealth,0.2165705329314591,0.1321728573653796,two-strong
4,569,female,0.4630778357434191,,,0.9999999978405356,dominant
4,955,female,0.256604456729848,male,0.2551866351697587,0.0055253192895891,two-strong
4,1355,female,0.2813566763624389,marriage,0.2329713171818435,0.1719716042788854,two-strong
4,1536,female,0.2959671155803376,family,0.2904356240850825,0.018689547538818,two-strong
4,1578,female,0.2407881016409637,,,0.9999999958469707,dominant
4,1643,family,0.3188938595919028,female,0.2754312105538201,0.1362918964868472,two-strong
4,1853,marriage,0.2973414180127477,duty,0.1503957571255484,0.4941984247438444,leaning
4,2030,female,0.3892235316182338,male,0.3384749112871258,0.1303842550056815,two-strong
4,2032,marriage,0.2436872409782626,family,0.1987899436090225,0.1842414769224769,two-strong
4,2068,male,0.2986830235170356,female,0.2600339001493295,0.129398459889714,two-strong
