layer,neuron,primary_concept,primary_score,primary_AP,primary_AUROC,primary_P(fire|1),primary_P(fire|0),primary_lift,primary_label_support,primary_neuron_fires_total,secondary_concept,secondary_score,secondary_AP,secondary_AUROC,secondary_P(fire|1),secondary_P(fire|0),secondary_lift,secondary_label_support,polarity_score,polarity_flag
1,100,emotion,0.4517,0.4517312310407326,0.6870953928310537,0.5151515151515151,0.1795511221945137,2.869107728128408,99,123,wealth,0.3275,0.3275342613550152,0.627504262574595,0.4456521739130434,0.2009803921568627,2.217391293314952,92,0.2749,leaning
1,189,female,0.4335,0.4335018308487526,0.705058275058275,0.4727272727272727,0.1948717948717948,2.425837308125787,110,128,family,0.3032,0.3032183286765223,0.5885534769463341,0.3703703703703703,0.2244897959183673,1.6498316424823998,108,0.3005,leaning
1,2429,emotion,0.3726,0.3726390476770539,0.7121841859996473,0.5353535353535354,0.2069825436408977,2.5864670679469204,99,136,love,0.2544,0.2544268936552892,0.6734883720930233,0.4857142857142857,0.2372093023255814,2.047619038986928,70,0.3172,leaning
1,2237,family,0.3719,0.3718603146990261,0.6165674603174602,0.3425925925925926,0.1938775510204081,1.7670565211001337,108,113,female,0.2669,0.2669057035100581,0.5985897435897436,0.3,0.2051282051282051,1.4624999928703126,110,0.2822,leaning
1,2665,family,0.3588,0.3588101211805369,0.6059736394557822,0.3888888888888889,0.2270408163265306,1.712858918797795,108,131,female,0.2431,0.243093623729971,0.4899650349650349,0.2909090909090909,0.2538461538461538,1.146005505127306,110,0.3225,leaning
1,146,emotion,0.3556,0.3555877449473003,0.6046751807350311,0.0707070707070707,0.0024937655860349,28.35352398377224,99,8,marriage,0.2445,0.2444624788498818,0.5081425101916905,0.0081967213114754,0.0185185185185185,0.4426229269180341,122,0.3125,leaning
1,1417,duty,0.3517,0.3516722303998985,0.7042443296653942,0.2876712328767123,0.0913348946135831,3.1496311562426578,73,60,marriage,0.2571,0.2571310970524094,0.5149839535085436,0.1311475409836065,0.1164021164021164,1.126676592407262,122,0.2688,leaning
1,229,male,0.3347,0.3346919261244284,0.6585695814577148,0.3490566037735849,0.1446700507614213,2.412777209406285,106,94,family,0.2458,0.2458166422837859,0.5021376606198035,0.1944444444444444,0.1862244897959183,1.0441400248345114,108,0.2655,leaning
1,999,family,0.3253,0.325303510770514,0.5600907029478458,0.3148148148148148,0.2372448979591837,1.326961364378909,108,127,marriage,0.2599,0.25985281348622,0.5584179026801979,0.2950819672131147,0.2407407407407407,1.2257250894860805,122,0.2012,leaning
1,1746,male,0.3247,0.3247251572463884,0.6187386265683363,0.160377358490566,0.0710659898477157,2.2567385127188584,106,45,family,0.2531,0.25306147686748,0.5371078987150416,0.1018518518518518,0.086734693877551,1.174291925458926,108,0.2207,leaning
1,1913,marriage,0.3095,0.3095484972552772,0.5649015526064707,0.2377049180327868,0.156084656084656,1.522923024419128,122,88,society,0.2,0.2000128882142345,0.5716984774933804,0.1931818181818181,0.1723300970873786,1.1209987130853185,88,0.3539,leaning
1,2069,male,0.302,0.3020449245615643,0.5833732401111005,0.2641509433962264,0.1649746192893401,1.601161093342396,106,93,marriage,0.2175,0.2175420246551671,0.4550915083701968,0.1229508196721311,0.2063492063492063,0.5958385847543409,122,0.2798,leaning
1,2666,female,0.2766,0.276645535656071,0.523962703962704,0.1454545454545454,0.0743589743589743,1.956112826358232,110,45,marriage,0.2185,0.218475824444828,0.4425578974759303,0.0491803278688524,0.1031746031746031,0.4766708654934524,122,0.2103,leaning
1,1307,family,0.3613,0.361282069262539,0.6556240551776267,0.3703703703703703,0.1632653061224489,2.2685185046238425,108,104,female,0.3091,0.3090928353743972,0.6293240093240093,0.3181818181818182,0.1769230769230769,1.798418962167039,110,0.1445,two-strong
