layer,neuron,concept,AP,AUROC,ΔP,P(fire|1),P(fire|0),lift,label_support,neuron_fires_total
1,236,female,0.2732814943341259,0.5418518518518518,0.04444930653032169,0.04445119331565458,1.8867853328855366e-06,23559.20887325573,135,6
1,236,male,0.20167727009832273,0.49086268871315597,-0.0016477470667118693,0.007699881540283994,0.009347628606995863,0.8237256595429557,130,6
1,236,family,0.22516195085068444,0.5248195996275605,0.017856512610084994,0.023444946172716048,0.005588433562631052,4.195262573271575,128,6
1,236,marriage,0.24212143261379251,0.5022201138519924,0.0134767498528626,0.019361040502703188,0.005884290649840589,3.2902930279178855,155,6
1,236,love,0.14135338345864662,0.4868651488616462,-0.010498957341445394,1.0638071530392971e-05,0.010509595412975787,0.0010122246491283894,94,6
1,236,wealth,0.1884990253411306,0.490878169449598,-0.011125603011212603,7.936381962191077e-06,0.011133539393174794,0.0007128354857524903,126,6
1,236,emotion,0.1869931752458068,0.49585925925925933,-0.01110492193199127,7.999872002047968e-06,0.01111292180399332,0.0007198711682154931,125,6
1,236,scandal,0.13834586466165413,0.4869109947643979,-0.010462043505582545,1.086932892763201e-05,0.010472912834510177,0.0010378515603393277,92,6
1,236,duty,0.14586466165413534,0.4867957746478873,-0.010554794578208796,1.0309065792457888e-05,0.010565103644001254,0.0009757657036649605,97,6
1,236,class,0.16090225563909774,0.48655913978494625,-0.010745096120644143,9.345619708042841e-06,0.010754441740352186,0.0008690009144879881,107,6
1,236,society,0.22556390977443608,0.4854368932038835,-0.01164571535471839,6.666577778962947e-06,0.011652381932497352,0.0005721214612609284,150,6
1,907,female,0.25979784197538003,0.5423130677847658,0.0053861891872374005,0.014822002636997969,0.009435813449760569,1.5708240433476617,135,7
1,907,male,0.2798410545850023,0.5632350826743351,0.015605783526175223,0.023084260242150118,0.007478476715974895,3.0867596591900455,130,7
1,907,family,0.2663319804198245,0.5752371391992551,-0.013029383014264338,7.812377931594818e-06,0.013037195392195933,0.0005992376194401497,128,7
1,907,marriage,0.18635602347694064,0.3868437697659709,-0.013720945617804486,6.451529657681836e-06,0.013727397147462168,0.00046997472193077613,155,7
1,907,love,0.11935794738505626,0.39449267801915255,0.00013911418894757555,0.010648709601923363,0.010509595412975787,1.0132368737775175,94,7
1,907,wealth,0.14368871354991808,0.2979945224843184,-0.003189221049021527,0.007944318344153267,0.011133539393174794,0.7135483212382427,126,7
1,907,emotion,0.1501895487054516,0.3718740740740741,-0.003105049929943305,0.008007871874050014,0.01111292180399332,0.7205910393837085,125,7
1,907,scandal,0.09475471263490924,0.24515327414826615,-0.012207238112233133,1.086932892763201e-05,0.012218107441160765,0.0008896082293502712,92,7
1,907,duty,0.13799996527668074,0.43547625961957304,0.011823894187843662,0.02062844065070823,0.00880454646286457,2.342930522925972,97,7
1,907,class,0.10847987651591257,0.28590928884869193,-0.012537204392657505,9.345619708042841e-06,0.012546550012365548,0.000744875658893255,107,7
1,907,society,0.1472288346706556,0.21275080906148863,-0.013587455386795934,6.666577778962947e-06,0.013594121964574896,0.0004904014982243847,150,7
1,1406,female,0.2148148148148148,0.5027603074772886,0.009159759853008475,0.014822002636997969,0.0056622427839894945,2.6176911163701484,135,5
1,1406,male,0.19590803932909195,0.4982386772106398,0.00022140482430909898,0.007699881540283994,0.007478476715974895,1.02960560441494,130,5
1,1406,family,0.1924812030075188,0.4934823091247672,-0.009305002099481898,7.812377931594818e-06,0.009312814477413493,0.000838884737766806,128,5
1,1406,marriage,0.2677176813000242,0.5225806451612903,0.032262139041442456,0.03226409981806686,1.9607766244053945e-06,16454.747043459836,155,5
1,1406,love,0.14135338345864662,0.4938704028021016,-0.00874764999050792,1.0638071530392971e-05,0.008758288062038313,0.0012146290980411699,94,5
1,1406,wealth,0.18947368421052632,0.4935064935064935,-0.009270322325797707,7.936381962191077e-06,0.009278258707759899,0.0008553740751697391,126,5
1,1406,emotion,0.18796992481203006,0.4935185185185185,-0.00925307693882458,7.999872002047968e-06,0.009261076810826628,0.0008638166127541378,125,5
1,1406,scandal,0.13865369946605643,0.5001612413688444,-0.008716848898931958,1.086932892763201e-05,0.00872771822785959,0.0012453803666221536,92,5
1,1406,duty,0.14586466165413534,0.49383802816901406,-0.008794237397072111,1.0309065792457888e-05,0.00880454646286457,0.0011708798215522098,97,5
1,1406,class,0.16090225563909774,0.49372759856630827,-0.008952987848630781,9.345619708042841e-06,0.008962333468338824,0.001042766344280235,107,5
1,1406,society,0.22556390977443608,0.49320388349514566,-0.009703975322640843,6.666577778962947e-06,0.009710641900419805,0.0006865228732189391,150,5
1,1829,female,0.21642414440660054,0.510062893081761,0.010906701524016014,0.02222930030666212,0.011322598782646106,1.9632683919498413,135,9
1,1829,male,0.21791611896875052,0.5205032350826744,0.040551503469995386,0.04616082829494931,0.005609324824953926,8.229302051000257,130,9
1,1829,family,0.24880138479028285,0.5402554702048417,0.060642783182841525,0.06250683583069014,0.0018640526478486113,33.53276307367143,128,9
1,1829,marriage,0.2353251822691551,0.5030234029095508,-0.0008178863024408158,0.012909510845021352,0.013727397147462168,0.9404194185834828,155,9
1,1829,love,0.14135338345864662,0.48774080560420313,-0.015752879394257818,1.0638071530392971e-05,0.01576351746578821,0.0006748539184104104,94,9
1,1829,wealth,0.18853681823606638,0.4918131754866449,-0.016691445067457292,7.936381962191077e-06,0.016699381449419484,0.0004752500555636878,126,9
1,1829,emotion,0.18796992481203006,0.48703703703703705,-0.016660456911491345,7.999872002047968e-06,0.016668456783493393,0.0004799407710910719,125,9
1,1829,scandal,0.13834586466165413,0.48778359511343805,-0.015697627325534307,1.086932892763201e-05,0.01570849665446194,0.0006919394749243989,92,9
1,1829,duty,0.14586466165413534,0.4876760563380282,-0.015836466121618854,1.0309065792457888e-05,0.015846775187411313,0.0006505466045859519,97,9
