layer,neuron,primary_concept,primary_AP,secondary_concept,secondary_AP,polarity_score,polarity_flag
1,236,female,0.2889676113360324,marriage,0.2505829791870982,0.1328336827737558,two-strong
1,907,male,0.2810762363189522,female,0.2599359603204267,0.0752118934000687,two-strong
1,1406,marriage,0.2750572082379863,female,0.2387218045112781,0.1321012593248188,two-strong
1,1829,female,0.2406980994152046,male,0.220036604999011,0.0858398731878335,two-strong
2,285,female,0.2962305603752972,marriage,0.2578904559535485,0.1294265664006736,two-strong
2,301,male,0.2360902255639098,,,0.9999999957643312,dominant
2,422,female,0.3046992481203008,marriage,0.242622083158206,0.2037325826739586,leaning
2,999,male,0.2549907285646106,family,0.2185589426439643,0.1428749428767567,two-strong
2,1240,male,0.2721804511278195,family,0.2139624270760936,0.2138949494594343,leaning
2,1466,male,0.5667136414423994,,,0.9999999982354404,dominant
2,1580,male,0.3131768638393227,family,0.2802497813920463,0.1051389363137338,two-strong
2,1758,female,0.2539473684210526,emotion,0.1821040203815323,0.2829064471244897,leaning
2,2583,marriage,0.2521068339963404,male,0.2332859459573303,0.0746544140276216,two-strong
3,181,female,0.3864664649492326,male,0.3077855738157589,0.2035904743771726,leaning
3,221,marriage,0.2470578620464204,family,0.1997706775017699,0.1914012529759701,two-strong
3,293,marriage,0.2735801438400327,emotion,0.1858344207626504,0.3207313276652033,leaning
3,344,male,0.2721804511278195,family,0.1986829819647157,0.2700321370933297,leaning
3,383,female,0.2949681120117507,emotion,0.1809502319959453,0.3865430702038741,leaning
3,994,society,0.2331491897683139,class,0.1552555631502999,0.334093489071634,leaning
3,1137,female,0.2539473684210526,emotion,0.1821040203815323,0.2829064471244897,leaning
3,1230,male,0.2547278927373391,,,0.9999999960742422,dominant
3,1355,female,0.290278327397441,marriage,0.2456685191238966,0.1536794307719242,two-strong
3,1578,female,0.2935728744939272,marriage,0.2432136241224178,0.171539180132979,two-strong
3,1838,female,0.2620313940963997,family,0.2243867388832693,0.1436646749878241,two-strong
3,1896,family,0.2874770856807982,marriage,0.275134076279645,0.0429356285179638,two-strong
3,2130,male,0.5795554571030597,love,0.1457659197544596,0.7484866741975559,dominant
3,2388,female,0.3071849411307554,marriage,0.2535567555106927,0.1745794740070153,two-strong
3,2552,marriage,0.2569467146126185,female,0.2478863432858976,0.0352616740210861,two-strong
3,2569,female,0.3174550335528428,marriage,0.245964475731592,0.2251990047092816,leaning
3,3078,emotion,0.2479553166671113,male,0.2252236274180122,0.0916765547235296,two-strong
3,3080,female,0.3308136109367378,marriage,0.3231366264718102,0.0232063741875158,two-strong
3,3348,male,0.2360902255639098,,,0.9999999957643312,dominant
3,3419,female,0.5083924337387776,family,0.3061099391669204,0.3978865159073307,leaning
4,10,female,0.3522080759292175,marriage,0.3227544929837002,0.0836255181945657,two-strong
4,52,male,0.3330440900681132,female,0.331162246352013,0.0056504341814468,two-strong
4,76,marriage,0.392963295765371,duty,0.1779794114270748,0.5470838780820233,dominant
4,117,female,0.2417438774251561,male,0.2289816905555783,0.0527921821752726,two-strong
4,208,family,0.3497685025206005,male,0.3049756011283777,0.1280644224432993,two-strong
4,241,female,0.2849937343358396,marriage,0.2508961725862674,0.1196431974527133,two-strong
4,484,female,0.2958417504289131,male,0.2154216136463282,0.2718349806751627,leaning
4,525,female,0.3561992615192276,family,0.2744203925683301,0.2295874179315097,leaning
4,560,love,0.2355572268931517,wealth,0.2181526744297512,0.0738867264616272,two-strong
4,569,female,0.4576453873498723,,,0.999999997814902,dominant
4,955,female,0.2653850420514937,male,0.2593679245451294,0.0226731598630325,two-strong
4,1355,female,0.2945488721804511,marriage,0.244633322436526,0.1694644057027,two-strong
4,1536,female,0.3139781517779529,family,0.2519240671350116,0.1976382244876327,two-strong
4,1578,female,0.2539473684210526,emotion,0.1821040203815323,0.2829064471244897,leaning
4,1643,family,0.2918792495990455,female,0.2861071654816707,0.019775589068179,two-strong
4,1853,marriage,0.2977974369852317,duty,0.1378112318678142,0.5372316370477018,dominant
4,2030,female,0.3955912461678077,male,0.3430723311409647,0.1327605587910411,two-strong
4,2032,marriage,0.2545926150780678,family,0.1858469703670942,0.2700221466356022,leaning
4,2068,male,0.3016136625752831,female,0.2602932156452369,0.1369979278797911,two-strong
4,2074,marriage,0.3002330086037568,wealth,0.1899111226735136,0.3674542185612582,leaning
4,2107,society,0.382445201710628,class,0.2061099306941621,0.4610732982572867,leaning
4,2130,male,0.591075112632674,family,0.2106006405006985,0.6436990212523529,dominant
4,2209,marriage,0.2545140023972976,female,0.2498034773963566,0.0185079207354568,two-strong
4,2425,emotion,0.2604218082682543,male,0.2398203023161013,0.0791082206595526,two-strong
4,2458,marriage,0.3014162934324881,wealth,0.298054098919251,0.0111546541289929,two-strong
4,2552,marriage,0.2559513036208401,family,0.2485017841336202,0.0291052217852745,two-strong
4,2755,male,0.2807705538355693,family,0.2266696219648453,0.1926873418133455,two-strong
4,2861,family,0.2887214179666997,female,0.2619549120909514,0.0927070321680411,two-strong
4,2907,male,0.2360902255639098,love,0.1312390170829372,0.4441149894554796,leaning
4,3140,male,0.264430987231544,society,0.1941392002391334,0.2658228048932787,leaning
4,3385,love,0.1341708957648487,duty,0.1235343544964065,0.0792760689904612,two-strong
4,3419,female,0.4299880847427104,male,0.2347429034997779,0.4540711422403463,leaning
4,3453,female,0.3184903174076066,marriage,0.2866087631486149,0.1001021143072531,two-strong
4,3552,female,0.3623108516643,family,0.2262103846906646,0.3756455705723494,leaning
5,4,marriage,0.2640525923218392,emotion,0.1764485802851657,0.3317672852010121,leaning
5,44,society,0.2331491897683139,class,0.1545821624768993,0.3369817713392306,leaning
5,60,female,0.3615033234089021,male,0.2721086668199605,0.2472858492660109,leaning
5,210,marriage,0.2444951117620535,society,0.2048884829662522,0.1619935398641161,two-strong
5,221,society,0.3270697145225391,wealth,0.193297412198546,0.409002411336902,leaning
5,287,female,0.2590225563909774,emotion,0.1821040203815323,0.2969569012993012,leaning
5,347,female,0.2927009396393499,family,0.2411871532986437,0.1759946046916831,two-strong
5,383,emotion,0.3617183739549298,love,0.2811334468550486,0.222783614766383,leaning
5,404,female,0.340581530067267,male,0.2679355025250622,0.2132999617288605,leaning
5,501,female,0.3332598015296164,family,0.2882125475346167,0.1351715798097082,two-strong
5,548,wealth,0.3531137937898864,marriage,0.3035100248917981,0.1404753074787237,two-strong
5,577,female,0.288465778113309,male,0.2414075740702362,0.1631327091474111,two-strong
5,686,female,0.360718489714163,male,0.3065110787007088,0.1502762192925914,two-strong
5,693,marriage,0.2561961801944138,female,0.2535849501616296,0.0101923066167903,two-strong
5,737,society,0.456560235215411,marriage,0.2404727104154956,0.4732946666383853,leaning
5,771,marriage,0.2619579390356699,family,0.2067862795614634,0.2106126634935896,leaning
5,947,love,0.3195433892251531,marriage,0.2876123876642542,0.0999269662201431,two-strong
5,966,love,0.2704362674907627,society,0.2579557938800156,0.0461494076974124,two-strong
5,975,female,0.2859085037103335,family,0.2832680696355693,0.0092352414540426,two-strong
5,1159,society,0.2766802502439304,emotion,0.1908241678576606,0.3103079529538819,leaning
5,1193,female,0.3300116704526366,marriage,0.3268758681318161,0.0095020952047464,two-strong
5,1299,family,0.2660263610538517,society,0.1845516640188436,0.3062655009299987,leaning
5,1323,male,0.2255441960499295,family,0.2254765249702486,0.0003000346742059,two-strong
5,1345,emotion,0.2126506052707201,love,0.1467658599675262,0.3098262754036906,leaning
5,1469,marriage,0.2387762437631366,family,0.2062815343687701,0.1360885352167294,two-strong
5,1568,family,0.2006095289366129,emotion,0.1970983327465725,0.0175026390378853,two-strong
5,1631,female,0.2874059609788776,duty,0.1323888349907025,0.539366424136907,dominant
5,1641,society,0.301217018518125,emotion,0.1917677792030243,0.3633567568333065,leaning
5,1667,marriage,0.2493288661020488,,,0.999999995989233,dominant
5,1760,family,0.258253487730322,male,0.2437602464808638,0.0561202147576505,two-strong
5,1853,marriage,0.2904381257408404,duty,0.1397697012641832,0.5187625542396487,dominant
5,1877,emotion,0.2878089095067581,wealth,0.2195148998385361,0.2372894207756586,leaning
5,2019,female,0.2365288220551378,family,0.2134453781512605,0.0975925200392862,two-strong
5,2024,wealth,0.2862590705564141,marriage,0.2696612600626481,0.05798177994333,two-strong
5,2068,male,0.2432874174105365,female,0.2306703294942882,0.0518608319274346,two-strong
5,2093,female,0.5612504284758084,love,0.1611981059441259,0.7127875570720182,dominant
5,2246,male,0.626468657414909,family,0.2024639477746709,0.6768171143837504,dominant
5,2314,female,0.4048128333571269,family,0.230805316343859,0.4298468384521574,leaning
5,2425,emotion,0.2009204999798929,love,0.142133172265661,0.2925899917008221,leaning
5,2428,family,0.3248176423459584,male,0.3242269420017323,0.0018185599099275,two-strong
5,2458,love,0.2248441364885634,society,0.2163970500889717,0.0375686308477639,two-strong
5,2478,female,0.2909720777851938,society,0.2713798690891685,0.0673336382577414,two-strong
5,2552,family,0.3006037426168574,marriage,0.2682393001090817,0.1076648019028887,two-strong
5,2606,male,0.3490346563778603,family,0.2341876385532238,0.3290418742007749,leaning
5,2619,male,0.2421052631578947,love,0.1312390170829372,0.4579257971138267,leaning
5,2625,female,0.3306359870663776,emotion,0.1832162217927768,0.4458672697298915,leaning
5,2636,male,0.29367124540125,female,0.2695110278593046,0.0822696053427537,two-strong
5,2700,female,0.289793522760709,male,0.1972705982794592,0.319271884618266,leaning
5,2724,class,0.3069386043825982,wealth,0.2657591687061978,0.1341617996376516,two-strong
5,2778,family,0.302280823982948,female,0.2695571461502621,0.1082558836953414,two-strong
5,2803,emotion,0.2153473752311472,love,0.1763665999481815,0.1810134674737107,two-strong
5,3021,marriage,0.3453165391774333,wealth,0.2589153915719708,0.2502085407234394,leaning
5,3046,marriage,0.2445021539577622,,,0.9999999959100564,dominant
5,3093,male,0.3140077265485433,love,0.1266810557095376,0.596567072732458,dominant
5,3121,marriage,0.264346504898973,emotion,0.1858344207626504,0.2970044331371948,leaning
5,3140,male,0.2321968240132929,society,0.2045304898102763,0.1191503553135695,two-strong
5,3308,society,0.2097840019897071,wealth,0.1964980177717019,0.0633317318225502,two-strong
5,3460,male,0.2618500497856166,emotion,0.2432877338071972,0.0708891058937271,two-strong
5,3480,marriage,0.2682452380565481,society,0.2077163725040855,0.2256474924414321,leaning
5,3539,marriage,0.2463280846731441,wealth,0.1832696325309812,0.2559937571464586,leaning
5,3582,family,0.2668705320913705,female,0.2489055608134555,0.0673171783703981,two-strong
6,2,marriage,0.2982324795294585,love,0.2868321851004882,0.0382261999388233,two-strong
6,101,marriage,0.2434226481387759,family,0.2024824147008623,0.1681858018666679,two-strong
6,226,male,0.2541353383458646,duty,0.1302373581011351,0.4875275534824811,leaning
6,263,society,0.2705504218561672,emotion,0.1856588786014623,0.3137734635877313,leaning
6,271,marriage,0.2984214443341655,duty,0.1437846223779833,0.5181826721032847,dominant
6,376,society,0.4968989283137924,marriage,0.2575362524593867,0.4817130038596798,leaning
6,582,family,0.197048732008181,love,0.1915096516757377,0.0281102052669038,two-strong
6,599,family,0.1897938794652626,duty,0.1282337242011757,0.3243526878378677,leaning
6,641,family,0.268937329127082,marriage,0.2569880848938028,0.0444313336033817,two-strong
6,680,family,0.2276916029569722,wealth,0.1911538847117794,0.1604702044792897,two-strong
6,703,female,0.3535842108710585,male,0.2325328851839931,0.3423550080092636,leaning
6,739,emotion,0.1990751672569854,wealth,0.190907268170426,0.0410292210629479,two-strong
6,770,female,0.3108689577598673,male,0.255301229584529,0.1787496841016601,two-strong
6,851,family,0.2586400513681762,female,0.2470148698635779,0.0449473366485781,two-strong
6,881,female,0.2973742816518281,family,0.218830600778324,0.2641239860188739,leaning
6,1031,female,0.2715207596734877,marriage,0.2636766193896404,0.0288896519897429,two-strong
6,1035,marriage,0.3458363089537687,female,0.3211832405793424,0.0712853672817696,two-strong
6,1042,marriage,0.2538085496942511,family,0.1942736135644265,0.2345663137312619,leaning
6,1044,marriage,0.3241259270904081,society,0.3075847027223585,0.0510333266625796,two-strong
6,1074,emotion,0.2712654601704711,wealth,0.2639227779508666,0.0270682533188039,two-strong
6,1120,marriage,0.2846130912029592,wealth,0.1898719330733596,0.3328770205062778,leaning
6,1152,wealth,0.1967796264279236,family,0.1901205458259858,0.0338402947956432,two-strong
6,1211,male,0.2059434300035804,scandal,0.1085573174388963,0.4728779747434188,leaning
6,1346,wealth,0.1999069073650309,duty,0.1452313983729026,0.2735048500289472,leaning
6,1351,duty,0.2338804540217168,female,0.2323424382634909,0.0065760764749798,two-strong
6,1352,female,0.2651928501671646,male,0.2290420293458557,0.1363189869644003,two-strong
6,1404,class,0.3336604868710279,wealth,0.250178815145635,0.2501994535165388,leaning
6,1461,female,0.2742481203007518,scandal,0.1137113617376775,0.5853704951620181,dominant
6,1580,male,0.2786102504152567,female,0.2426291249746802,0.1291450162289548,two-strong
6,1582,female,0.4231654271340822,family,0.3973198173411623,0.0610768462510849,two-strong
6,1588,female,0.2873003080566895,family,0.2515498899344825,0.1244357106318071,two-strong
6,1590,female,0.3168617914497506,male,0.2267576251842298,0.2843642509527554,leaning
6,1601,female,0.3199248120300752,marriage,0.2500096394833237,0.2185362613314365,leaning
6,1664,male,0.1966186724283437,emotion,0.1952387673255736,0.0070181792945164,two-strong
6,1687,family,0.2660929055222664,male,0.2421029711606025,0.090156234058259,two-strong
6,1723,marriage,0.3115192500507385,duty,0.1351535923188372,0.5661468982640043,dominant
6,1729,female,0.2529488916601504,marriage,0.2418405378891955,0.0439154077890332,two-strong
6,1770,society,0.354271891151428,emotion,0.1908003553009449,0.4614295953815317,leaning
6,1779,marriage,0.2587447774657601,female,0.244927357615246,0.0534017340656887,two-strong
6,1794,society,0.3635072700941816,emotion,0.1978370885237271,0.4557547943175276,leaning
6,1804,class,0.2460550687187406,wealth,0.2411497324580678,0.0199359284337443,two-strong
6,1817,female,0.2410769173317349,family,0.2406388616485658,0.0018170784917961,two-strong
6,1830,wealth,0.3059223481324908,marriage,0.2799341086015349,0.0849504444662222,two-strong
6,1835,marriage,0.283502725679965,duty,0.1323823803982186,0.533047237504492,dominant
6,1849,family,0.2006680489693295,duty,0.141547984112367,0.2946162324595197,leaning
6,1854,female,0.3207437985809075,marriage,0.285943098684385,0.1084999926483194,two-strong
6,2009,female,0.3163331725603383,male,0.2014662623373262,0.3631200260477963,leaning
6,2042,marriage,0.2603872290914649,male,0.2044767957754836,0.214720335157534,leaning
6,2072,male,0.2917666987813359,family,0.2246430589323254,0.2300592901771045,leaning
6,2142,marriage,0.2723602312542212,emotion,0.2407318147935117,0.1161271460188341,two-strong
