layer,neuron,primary_concept,primary_AP,secondary_concept,secondary_AP,polarity_score,polarity_flag
1,236,female,0.2732814943341259,marriage,0.2421214326137925,0.1140218501887065,two-strong
1,907,male,0.2816862178798646,female,0.2613617432825746,0.0721528894033615,two-strong
1,1829,family,0.2488013847902828,male,0.2179161189687505,0.1241362290785864,two-strong
2,999,family,0.2603653430158879,female,0.2357207043049584,0.0946540669768463,two-strong
2,1240,marriage,0.250419632008865,society,0.2423287401109149,0.0323093353373922,two-strong
2,1580,family,0.2904386618037964,female,0.2464436181246417,0.1514779170735792,two-strong
2,2255,emotion,0.2705048416998197,wealth,0.2245551283719893,0.1698665091139273,two-strong
2,2403,family,0.3691344547627253,male,0.3237289343646972,0.1230053702361888,two-strong
3,181,female,0.254428961613628,wealth,0.2028609049696565,0.2026815505366893,leaning
3,344,marriage,0.2483541347972536,society,0.2438077879182805,0.0183059036419049,two-strong
3,383,female,0.2316042006768931,society,0.2287240935410157,0.01243547014702,two-strong
3,1137,female,0.2158183193161294,wealth,0.1982351930778479,0.0814718890061133,two-strong
3,1230,male,0.22822146937835,emotion,0.21088783921834,0.075950917901256,two-strong
3,1838,female,0.2896255316434237,marriage,0.2326623949948563,0.1966785736349367,two-strong
3,1896,male,0.2225941696753514,female,0.1997606811627622,0.1025790048468579,two-strong
3,2130,male,0.2876898560468809,wealth,0.2267332111622917,0.2118831908441455,leaning
3,2388,society,0.2404542573466719,wealth,0.2114901623025069,0.1204557375831805,two-strong
3,2424,female,0.3180915089468027,family,0.3053000712864874,0.0402130747295158,two-strong
3,2569,society,0.2538042749098924,marriage,0.2518277448864946,0.0077876151467971,two-strong
3,2844,family,0.2836729042524141,marriage,0.2461187868080817,0.1323852816007101,two-strong
3,2942,family,0.3471737626333845,female,0.3060638032784656,0.1184132087767179,two-strong
3,3078,family,0.2384663781813794,wealth,0.2244640206353599,0.0587183719318738,two-strong
3,3080,society,0.2266647561458626,duty,0.1325529263775965,0.4152027467935986,leaning
3,3348,male,0.205760173180845,class,0.1669240801757276,0.1887444601936617,two-strong
4,10,society,0.23890752858413,duty,0.1345967692589278,0.4366156207247948,leaning
4,60,marriage,0.2762551004980787,family,0.2621679066365199,0.0509934252260561,two-strong
4,208,female,0.2535909683281603,male,0.2314055694361295,0.0874849721612984,two-strong
4,437,male,0.263857444021738,family,0.242820114121264,0.0797299083175038,two-strong
4,484,female,0.2513252233405282,family,0.2114829270142585,0.1585288401942741,two-strong
4,525,male,0.252606997386157,female,0.2503677347930463,0.0088646102737326,two-strong
4,569,female,0.2402658655268575,wealth,0.2155266589537297,0.1029659640411818,two-strong
4,955,female,0.2644676714747514,male,0.2613452970264609,0.0118062613062418,two-strong
4,1536,female,0.3116954769072909,class,0.1464219081808819,0.5302405085760246,dominant
4,1578,female,0.2167216616828864,wealth,0.1976959018605906,0.0877889159153178,two-strong
4,1838,family,0.3394874227310617,female,0.2939982634596264,0.1339936506969735,two-strong
4,1853,female,0.2769216469474239,family,0.2614087817117348,0.0560189690862822,two-strong
4,2030,society,0.3058875828616677,wealth,0.2232361911008254,0.2702018523191183,leaning
4,2107,marriage,0.305583825762817,wealth,0.227851084869478,0.2543745253693426,leaning
4,2130,male,0.2923617860393692,wealth,0.219512030195588,0.2491767360621971,leaning
4,2425,marriage,0.2710224828562125,female,0.229385332941358,0.1536298735161196,two-strong
4,2458,society,0.2947402588295181,emotion,0.2566445025491725,0.1292519600219553,two-strong
4,2755,society,0.2432007859189408,emotion,0.2104028255994353,0.1348595978451217,two-strong
4,2844,family,0.2785077337535548,marriage,0.2495220771100177,0.1040748712748888,two-strong
4,2861,male,0.2644948366921165,female,0.2147690840304644,0.1880027341763661,two-strong
4,2907,wealth,0.2064424985284729,male,0.2034827404686297,0.0143369609775286,two-strong
4,3079,society,0.2785151161901411,emotion,0.2215602945446851,0.2044945431330866,leaning
4,3140,male,0.2712803621319417,female,0.2701003325742732,0.0043498524701346,two-strong
4,3221,emotion,0.2133172014800147,duty,0.1748816754749377,0.1801801521782003,two-strong
4,3419,female,0.2821279932883671,family,0.2210654357122312,0.216435656199799,leaning
4,3453,female,0.2704985128742107,wealth,0.1718161635148964,0.3648166045200688,leaning
4,3552,society,0.2537698050628399,wealth,0.2165492933581961,0.146670371397246,two-strong
5,60,male,0.2091026680050685,wealth,0.1692002484293564,0.1908269261486321,two-strong
5,221,marriage,0.2853691920969714,wealth,0.2222069289265335,0.221335255165314,leaning
5,287,female,0.2175306990772896,wealth,0.1964760764882229,0.0967892007040197,two-strong
5,383,society,0.3341087678902149,emotion,0.2319289300684795,0.3058280636007812,leaning
5,404,female,0.2727752673410797,male,0.2277254376212258,0.165153644587468,two-strong
5,501,society,0.2550711512906566,female,0.2206838874813117,0.1348143978671496,two-strong
5,548,society,0.3153766149858076,emotion,0.2298188545852721,0.2712875846330526,leaning
5,577,female,0.254120801263546,class,0.1792696188229337,0.2945496070132225,leaning
5,686,society,0.2590389601157222,wealth,0.2067315301325507,0.2019288131710961,leaning
5,693,wealth,0.2022322926881081,class,0.1921051276771004,0.0500768933898672,two-strong
5,737,society,0.2619537138146213,wealth,0.2152391972540076,0.1783311856969559,two-strong
5,771,female,0.2407611219640872,scandal,0.1377340284190103,0.4279224663711374,leaning
5,947,society,0.2758318678284502,marriage,0.2752043048958517,0.0022751647054562,two-strong
5,966,marriage,0.2698974345671153,society,0.2354646631079673,0.127577245729649,two-strong
5,975,male,0.2592558703156456,female,0.2586178995131254,0.0024607766809009,two-strong
5,1193,society,0.22711583237285,class,0.1913488600626046,0.1574833941741424,two-strong
5,1323,male,0.2613801377680952,marriage,0.246191654989303,0.0581087868817297,two-strong
5,1469,marriage,0.2668975289653707,family,0.1963525342564662,0.2643149028694928,leaning
5,1760,male,0.2149309305566021,female,0.2120567185902501,0.0133727237188987,two-strong
5,1841,marriage,0.2686528760410571,wealth,0.2536418991297175,0.0558749903469133,two-strong
5,1853,female,0.2599527938466124,marriage,0.252608302904419,0.0282531716826783,two-strong
5,1900,family,0.3158541880803572,female,0.2645928626622788,0.1622942711867495,two-strong
5,2024,marriage,0.2455884893063409,male,0.210958673561371,0.1410074865551457,two-strong
5,2068,marriage,0.2644024560680932,family,0.2536836596414598,0.0405397005212888,two-strong
5,2093,female,0.3043338547305053,emotion,0.1941879651700518,0.3619245361186178,leaning
5,2246,male,0.2978852800155089,wealth,0.2113774027551243,0.2904066859747955,leaning
5,2314,society,0.261776168272741,marriage,0.2449436857965752,0.064301049720948,two-strong
5,2425,marriage,0.2867975775430246,male,0.2231146274015135,0.2220484233689495,leaning
5,2428,male,0.2799354934993516,family,0.2577911953934015,0.0791050029063084,two-strong
5,2441,family,0.3221408349329241,female,0.2612816725282008,0.1889209799449187,two-strong
5,2458,society,0.2543454017131088,emotion,0.233240622180075,0.0829768468700775,two-strong
5,2478,society,0.2793565058892197,wealth,0.2194474227392472,0.2144538669139707,leaning
5,2552,female,0.2107055847115065,male,0.2031177923319226,0.0360113489823328,two-strong
5,2606,society,0.2448279616701575,emotion,0.2099661277943164,0.1423931870184633,two-strong
5,2619,wealth,0.2136281574459594,male,0.2042737369118001,0.0437883310992714,two-strong
5,2625,female,0.2411885567627516,emotion,0.189945496495029,0.2124605774960872,leaning
5,2636,female,0.2363003243324883,male,0.2288828151470336,0.0313901776267884,two-strong
5,2724,love,0.2488401156519984,class,0.2088457334295029,0.1607232095877347,two-strong
5,2778,male,0.2496771570652788,,,0.9999999959948278,dominant
5,2803,marriage,0.2548123515076301,wealth,0.2252297940260028,0.1160954607989088,two-strong
5,2861,marriage,0.2774206966348018,society,0.2631386549392385,0.0514815290183007,two-strong
5,3046,female,0.2416321015405347,family,0.2232624301700886,0.0760233064121292,two-strong
5,3093,male,0.245244755835583,female,0.2300772083290171,0.0618465719808824,two-strong
5,3140,male,0.2688278125235526,female,0.2320985580296292,0.1366274345370348,two-strong
5,3308,marriage,0.2566784702790253,wealth,0.2062068375771137,0.1966336812371218,two-strong
5,3460,marriage,0.2653373359636882,wealth,0.2261797932888086,0.1475764516331086,two-strong
5,3480,society,0.2482276524379534,emotion,0.2437751598601591,0.0179371335793061,two-strong
6,2,society,0.2850951121884686,emotion,0.2388330792799086,0.1622687684512412,two-strong
6,70,marriage,0.2639504584949276,duty,0.1665995195296482,0.3688227675434307,leaning
6,101,family,0.2187500026191394,male,0.1923256717708605,0.120796939022162,two-strong
6,271,female,0.2523947186154847,marriage,0.2521160751300311,0.0011039988708087,two-strong
6,376,society,0.2528608616513906,wealth,0.2172508438352928,0.140828507198411,two-strong
6,495,society,0.2356056603134881,emotion,0.210553318411815,0.1063316635177938,two-strong
6,641,marriage,0.2400801392845987,female,0.2116993081479929,0.1182139893077463,two-strong
6,703,family,0.2443042100156589,female,0.2430999730203102,0.0049292518959958,two-strong
6,881,family,0.2689342100563416,female,0.2417064917294982,0.1012430446089255,two-strong
6,908,marriage,0.2586313352771177,family,0.2489662365446717,0.0373701766830375,two-strong
6,1031,male,0.2493547271898969,female,0.2146668207971038,0.1391106823784645,two-strong
6,1044,marriage,0.2853049991714265,society,0.2293288912863945,0.1961974302987979,two-strong
6,1069,marriage,0.2755241695862294,emotion,0.1943360481754752,0.2946678733775378,leaning
6,1074,marriage,0.2703142417708233,wealth,0.2290852239744548,0.1525225506941678,two-strong
6,1120,marriage,0.3054463103940992,wealth,0.2182461430573455,0.2854844340360833,leaning
