layer,neuron,primary_concept,primary_AP,secondary_concept,secondary_AP,polarity_score,polarity_flag
3,181,female,0.3864664649492326,male,0.3077855738157589,0.20359047437717265,leaning
3,221,marriage,0.2470578620464204,family,0.1997706775017699,0.19140125297597016,two-strong
3,293,marriage,0.2735801438400327,emotion,0.1858344207626504,0.3207313276652033,leaning
3,344,male,0.2721804511278195,family,0.1986829819647157,0.2700321370933297,leaning
3,383,female,0.2949681120117507,emotion,0.1809502319959453,0.3865430702038741,leaning
3,994,society,0.2331491897683139,class,0.1552555631502999,0.33409348907163405,leaning
3,1137,female,0.2539473684210526,emotion,0.1821040203815323,0.2829064471244897,leaning
3,1230,male,0.2547278927373391,,,0.9999999960742422,dominant
3,1355,female,0.290278327397441,marriage,0.2456685191238966,0.15367943077192425,two-strong
3,1578,female,0.2935728744939272,marriage,0.2432136241224178,0.17153918013297909,two-strong
3,1838,female,0.2620313940963997,family,0.2243867388832693,0.14366467498782415,two-strong
3,1896,family,0.2874770856807982,marriage,0.275134076279645,0.04293562851796382,two-strong
3,2130,male,0.5795554571030597,love,0.1457659197544596,0.7484866741975559,dominant
3,2388,female,0.3071849411307554,marriage,0.2535567555106927,0.17457947400701532,two-strong
3,2552,marriage,0.2569467146126185,female,0.2478863432858976,0.03526167402108616,two-strong
3,2569,female,0.3174550335528428,marriage,0.245964475731592,0.22519900470928164,leaning
3,3078,emotion,0.2479553166671113,male,0.2252236274180122,0.09167655472352963,two-strong
3,3080,female,0.3308136109367378,marriage,0.3231366264718102,0.02320637418751584,two-strong
3,3348,male,0.2360902255639098,,,0.9999999957643312,dominant
3,3419,female,0.5083924337387776,family,0.3061099391669204,0.3978865159073307,leaning
