run_A,run_B,dom_concepts_k,dom_concepts_intersection,dom_concepts_union,dom_concepts_jaccard,dom_concepts_recall_A_in_B,dom_concepts_recall_B_in_A,top_concepts_A,top_concepts_B,dom_pairs_k,dom_pairs_intersection,dom_pairs_union,dom_pairs_jaccard,dom_pairs_recall_A_in_B,dom_pairs_recall_B_in_A,top_pairs_A,top_pairs_B
thr_3_0_min_10_max_100,thr_3_0_min_20_max_100,25,10,10,1.0,1.0,1.0,"female,marriage,male,society,emotion,family,wealth,love,class,duty","female,marriage,male,society,emotion,family,wealth,class,duty,love",50,45,55,0.8181818181818182,0.9,0.9,"female→male,female→family,female→marriage,male→family,marriage→female,male→female,marriage→society,wealth→emotion,emotion→wealth,society→emotion,society→marriage,family→female,marriage→wealth,marriage→male,society→class,society→wealth,family→male,marriage→family,marriage→class,emotion→class,emotion→family,emotion→male,male→society,female→duty,female→wealth,marriage→duty,marriage→emotion,wealth→family,marriage→love,class→wealth,family→wealth,male→love,female→emotion,male→class,wealth→marriage,society→male,male→emotion,emotion→society,emotion→love,marriage→nan,society→family,family→emotion,wealth→love,female→society,emotion→duty,wealth→duty,society→nan,emotion→nan,society→duty,society→female","female→male,female→family,male→female,female→marriage,male→family,marriage→female,marriage→society,family→female,society→marriage,emotion→wealth,society→class,marriage→wealth,society→emotion,society→wealth,male→society,marriage→male,marriage→class,marriage→duty,class→wealth,wealth→marriage,emotion→male,marriage→love,wealth→family,society→family,marriage→family,male→love,family→male,female→emotion,female→wealth,male→class,emotion→love,emotion→duty,emotion→society,marriage→emotion,female→society,society→duty,society→male,wealth→emotion,society→nan,marriage→nan,society→female,emotion→family,duty→emotion,class→emotion,emotion→class,wealth→love,family→emotion,family→marriage,marriage→scandal,love→emotion"
thr_3_0_min_10_max_100,thr_3_0_min_5_max_150,25,10,11,0.9090909090909091,1.0,0.9090909090909091,"female,marriage,male,society,emotion,family,wealth,love,class,duty","female,marriage,male,society,emotion,family,wealth,class,love,duty,scandal",50,44,56,0.7857142857142857,0.88,0.88,"female→male,female→family,female→marriage,male→family,marriage→female,male→female,marriage→society,wealth→emotion,emotion→wealth,society→emotion,society→marriage,family→female,marriage→wealth,marriage→male,society→class,society→wealth,family→male,marriage→family,marriage→class,emotion→class,emotion→family,emotion→male,male→society,female→duty,female→wealth,marriage→duty,marriage→emotion,wealth→family,marriage→love,class→wealth,family→wealth,male→love,female→emotion,male→class,wealth→marriage,society→male,male→emotion,emotion→society,emotion→love,marriage→nan,society→family,family→emotion,wealth→love,female→society,emotion→duty,wealth→duty,society→nan,emotion→nan,society→duty,society→female","female→male,female→family,male→family,female→marriage,marriage→female,marriage→society,society→emotion,male→female,wealth→emotion,emotion→wealth,marriage→wealth,marriage→emotion,family→female,society→class,family→male,society→wealth,female→emotion,marriage→male,society→marriage,emotion→class,male→emotion,wealth→family,female→wealth,female→duty,emotion→male,emotion→family,emotion→society,marriage→duty,male→society,marriage→love,marriage→family,male→wealth,male→class,family→wealth,male→love,emotion→duty,emotion→love,family→love,marriage→class,society→male,family→emotion,class→wealth,wealth→love,male→duty,wealth→society,wealth→marriage,society→family,female→love,wealth→duty,wealth→class"
thr_3_0_min_10_max_100,thr_5_0_min_0_max_200,25,10,11,0.9090909090909091,1.0,0.9090909090909091,"female,marriage,male,society,emotion,family,wealth,love,class,duty","marriage,female,male,emotion,society,wealth,family,love,duty,class,scandal",50,38,62,0.6129032258064516,0.76,0.76,"female→male,female→family,female→marriage,male→family,marriage→female,male→female,marriage→society,wealth→emotion,emotion→wealth,society→emotion,society→marriage,family→female,marriage→wealth,marriage→male,society→class,society→wealth,family→male,marriage→family,marriage→class,emotion→class,emotion→family,emotion→male,male→society,female→duty,female→wealth,marriage→duty,marriage→emotion,wealth→family,marriage→love,class→wealth,family→wealth,male→love,female→emotion,male→class,wealth→marriage,society→male,male→emotion,emotion→society,emotion→love,marriage→nan,society→family,family→emotion,wealth→love,female→society,emotion→duty,wealth→duty,society→nan,emotion→nan,society→duty,society→female","marriage→female,female→marriage,female→male,emotion→nan,wealth→nan,female→family,male→family,marriage→society,love→nan,society→marriage,marriage→male,marriage→family,marriage→wealth,male→female,marriage→emotion,society→emotion,duty→nan,male→nan,female→nan,society→class,family→nan,female→emotion,family→female,emotion→love,female→duty,family→male,male→love,marriage→duty,emotion→wealth,wealth→class,male→marriage,marriage→nan,wealth→emotion,society→wealth,class→nan,society→nan,emotion→marriage,male→society,emotion→duty,wealth→marriage,male→emotion,male→class,female→love,wealth→family,family→marriage,emotion→male,marriage→love,female→wealth,female→society,marriage→class"
thr_3_0_min_10_max_100,thr_5_0_min_5_max_150,25,10,11,0.9090909090909091,1.0,0.9090909090909091,"female,marriage,male,society,emotion,family,wealth,love,class,duty","female,marriage,male,society,family,emotion,wealth,class,love,duty,scandal",50,39,61,0.639344262295082,0.78,0.78,"female→male,female→family,female→marriage,male→family,marriage→female,male→female,marriage→society,wealth→emotion,emotion→wealth,society→emotion,society→marriage,family→female,marriage→wealth,marriage→male,society→class,society→wealth,family→male,marriage→family,marriage→class,emotion→class,emotion→family,emotion→male,male→society,female→duty,female→wealth,marriage→duty,marriage→emotion,wealth→family,marriage→love,class→wealth,family→wealth,male→love,female→emotion,male→class,wealth→marriage,society→male,male→emotion,emotion→society,emotion→love,marriage→nan,society→family,family→emotion,wealth→love,female→society,emotion→duty,wealth→duty,society→nan,emotion→nan,society→duty,society→female","female→male,female→family,female→marriage,male→family,male→female,marriage→female,marriage→wealth,society→emotion,female→emotion,family→female,marriage→society,marriage→family,marriage→duty,society→class,society→wealth,male→love,emotion→wealth,family→male,female→duty,society→marriage,marriage→nan,emotion→male,male→nan,family→marriage,male→emotion,male→society,emotion→love,class→wealth,marriage→emotion,wealth→society,wealth→marriage,marriage→male,family→wealth,emotion→class,wealth→emotion,male→class,wealth→family,wealth→love,emotion→society,emotion→marriage,class→love,wealth→class,society→male,male→wealth,society→duty,family→society,love→society,emotion→duty,family→class,family→duty"
thr_3_0_min_10_max_100,thr_7_0_min_5_max_150,25,10,10,1.0,1.0,1.0,"female,marriage,male,society,emotion,family,wealth,love,class,duty","female,male,marriage,family,society,emotion,wealth,duty,love,class",50,34,66,0.5151515151515151,0.68,0.68,"female→male,female→family,female→marriage,male→family,marriage→female,male→female,marriage→society,wealth→emotion,emotion→wealth,society→emotion,society→marriage,family→female,marriage→wealth,marriage→male,society→class,society→wealth,family→male,marriage→family,marriage→class,emotion→class,emotion→family,emotion→male,male→society,female→duty,female→wealth,marriage→duty,marriage→emotion,wealth→family,marriage→love,class→wealth,family→wealth,male→love,female→emotion,male→class,wealth→marriage,society→male,male→emotion,emotion→society,emotion→love,marriage→nan,society→family,family→emotion,wealth→love,female→society,emotion→duty,wealth→duty,society→nan,emotion→nan,society→duty,society→female","female→male,female→marriage,male→family,female→family,female→emotion,male→female,male→nan,marriage→female,marriage→family,family→female,male→love,society→emotion,family→male,family→marriage,marriage→wealth,marriage→duty,emotion→wealth,female→love,marriage→society,society→class,marriage→love,society→wealth,wealth→marriage,society→marriage,marriage→emotion,emotion→society,female→scandal,emotion→male,family→duty,emotion→family,emotion→duty,male→emotion,marriage→nan,male→wealth,wealth→love,male→duty,family→love,family→class,family→wealth,emotion→love,duty→scandal,duty→class,duty→male,emotion→scandal,emotion→marriage,family→emotion,class→wealth,love→wealth,female→wealth,female→nan"
thr_3_0_min_20_max_100,thr_3_0_min_5_max_150,25,10,11,0.9090909090909091,1.0,0.9090909090909091,"female,marriage,male,society,emotion,family,wealth,class,duty,love","female,marriage,male,society,emotion,family,wealth,class,love,duty,scandal",50,40,60,0.6666666666666666,0.8,0.8,"female→male,female→family,male→female,female→marriage,male→family,marriage→female,marriage→society,family→female,society→marriage,emotion→wealth,society→class,marriage→wealth,society→emotion,society→wealth,male→society,marriage→male,marriage→class,marriage→duty,class→wealth,wealth→marriage,emotion→male,marriage→love,wealth→family,society→family,marriage→family,male→love,family→male,female→emotion,female→wealth,male→class,emotion→love,emotion→duty,emotion→society,marriage→emotion,female→society,society→duty,society→male,wealth→emotion,society→nan,marriage→nan,society→female,emotion→family,duty→emotion,class→emotion,emotion→class,wealth→love,family→emotion,family→marriage,marriage→scandal,love→emotion","female→male,female→family,male→family,female→marriage,marriage→female,marriage→society,society→emotion,male→female,wealth→emotion,emotion→wealth,marriage→wealth,marriage→emotion,family→female,society→class,family→male,society→wealth,female→emotion,marriage→male,society→marriage,emotion→class,male→emotion,wealth→family,female→wealth,female→duty,emotion→male,emotion→family,emotion→society,marriage→duty,male→society,marriage→love,marriage→family,male→wealth,male→class,family→wealth,male→love,emotion→duty,emotion→love,family→love,marriage→class,society→male,family→emotion,class→wealth,wealth→love,male→duty,wealth→society,wealth→marriage,society→family,female→love,wealth→duty,wealth→class"
thr_3_0_min_20_max_100,thr_5_0_min_0_max_200,25,10,11,0.9090909090909091,1.0,0.9090909090909091,"female,marriage,male,society,emotion,family,wealth,class,duty,love","marriage,female,male,emotion,society,wealth,family,love,duty,class,scandal",50,36,64,0.5625,0.72,0.72,"female→male,female→family,male→female,female→marriage,male→family,marriage→female,marriage→society,family→female,society→marriage,emotion→wealth,society→class,marriage→wealth,society→emotion,society→wealth,male→society,marriage→male,marriage→class,marriage→duty,class→wealth,wealth→marriage,emotion→male,marriage→love,wealth→family,society→family,marriage→family,male→love,family→male,female→emotion,female→wealth,male→class,emotion→love,emotion→duty,emotion→society,marriage→emotion,female→society,society→duty,society→male,wealth→emotion,society→nan,marriage→nan,society→female,emotion→family,duty→emotion,class→emotion,emotion→class,wealth→love,family→emotion,family→marriage,marriage→scandal,love→emotion","marriage→female,female→marriage,female→male,emotion→nan,wealth→nan,female→family,male→family,marriage→society,love→nan,society→marriage,marriage→male,marriage→family,marriage→wealth,male→female,marriage→emotion,society→emotion,duty→nan,male→nan,female→nan,society→class,family→nan,female→emotion,family→female,emotion→love,female→duty,family→male,male→love,marriage→duty,emotion→wealth,wealth→class,male→marriage,marriage→nan,wealth→emotion,society→wealth,class→nan,society→nan,emotion→marriage,male→society,emotion→duty,wealth→marriage,male→emotion,male→class,female→love,wealth→family,family→marriage,emotion→male,marriage→love,female→wealth,female→society,marriage→class"
thr_3_0_min_20_max_100,thr_5_0_min_5_max_150,25,10,11,0.9090909090909091,1.0,0.9090909090909091,"female,marriage,male,society,emotion,family,wealth,class,duty,love","female,marriage,male,society,family,emotion,wealth,class,love,duty,scandal",50,37,63,0.5873015873015873,0.74,0.74,"female→male,female→family,male→female,female→marriage,male→family,marriage→female,marriage→society,family→female,society→marriage,emotion→wealth,society→class,marriage→wealth,society→emotion,society→wealth,male→society,marriage→male,marriage→class,marriage→duty,class→wealth,wealth→marriage,emotion→male,marriage→love,wealth→family,society→family,marriage→family,male→love,family→male,female→emotion,female→wealth,male→class,emotion→love,emotion→duty,emotion→society,marriage→emotion,female→society,society→duty,society→male,wealth→emotion,society→nan,marriage→nan,society→female,emotion→family,duty→emotion,class→emotion,emotion→class,wealth→love,family→emotion,family→marriage,marriage→scandal,love→emotion","female→male,female→family,female→marriage,male→family,male→female,marriage→female,marriage→wealth,society→emotion,female→emotion,family→female,marriage→society,marriage→family,marriage→duty,society→class,society→wealth,male→love,emotion→wealth,family→male,female→duty,society→marriage,marriage→nan,emotion→male,male→nan,family→marriage,male→emotion,male→society,emotion→love,class→wealth,marriage→emotion,wealth→society,wealth→marriage,marriage→male,family→wealth,emotion→class,wealth→emotion,male→class,wealth→family,wealth→love,emotion→society,emotion→marriage,class→love,wealth→class,society→male,male→wealth,society→duty,family→society,love→society,emotion→duty,family→class,family→duty"
thr_3_0_min_20_max_100,thr_7_0_min_5_max_150,25,10,10,1.0,1.0,1.0,"female,marriage,male,society,emotion,family,wealth,class,duty,love","female,male,marriage,family,society,emotion,wealth,duty,love,class",50,33,67,0.4925373134328358,0.66,0.66,"female→male,female→family,male→female,female→marriage,male→family,marriage→female,marriage→society,family→female,society→marriage,emotion→wealth,society→class,marriage→wealth,society→emotion,society→wealth,male→society,marriage→male,marriage→class,marriage→duty,class→wealth,wealth→marriage,emotion→male,marriage→love,wealth→family,society→family,marriage→family,male→love,family→male,female→emotion,female→wealth,male→class,emotion→love,emotion→duty,emotion→society,marriage→emotion,female→society,society→duty,society→male,wealth→emotion,society→nan,marriage→nan,society→female,emotion→family,duty→emotion,class→emotion,emotion→class,wealth→love,family→emotion,family→marriage,marriage→scandal,love→emotion","female→male,female→marriage,male→family,female→family,female→emotion,male→female,male→nan,marriage→female,marriage→family,family→female,male→love,society→emotion,family→male,family→marriage,marriage→wealth,marriage→duty,emotion→wealth,female→love,marriage→society,society→class,marriage→love,society→wealth,wealth→marriage,society→marriage,marriage→emotion,emotion→society,female→scandal,emotion→male,family→duty,emotion→family,emotion→duty,male→emotion,marriage→nan,male→wealth,wealth→love,male→duty,family→love,family→class,family→wealth,emotion→love,duty→scandal,duty→class,duty→male,emotion→scandal,emotion→marriage,family→emotion,class→wealth,love→wealth,female→wealth,female→nan"
thr_3_0_min_5_max_150,thr_5_0_min_0_max_200,25,11,11,1.0,1.0,1.0,"female,marriage,male,society,emotion,family,wealth,class,love,duty,scandal","marriage,female,male,emotion,society,wealth,family,love,duty,class,scandal",50,36,64,0.5625,0.72,0.72,"female→male,female→family,male→family,female→marriage,marriage→female,marriage→society,society→emotion,male→female,wealth→emotion,emotion→wealth,marriage→wealth,marriage→emotion,family→female,society→class,family→male,society→wealth,female→emotion,marriage→male,society→marriage,emotion→class,male→emotion,wealth→family,female→wealth,female→duty,emotion→male,emotion→family,emotion→society,marriage→duty,male→society,marriage→love,marriage→family,male→wealth,male→class,family→wealth,male→love,emotion→duty,emotion→love,family→love,marriage→class,society→male,family→emotion,class→wealth,wealth→love,male→duty,wealth→society,wealth→marriage,society→family,female→love,wealth→duty,wealth→class","marriage→female,female→marriage,female→male,emotion→nan,wealth→nan,female→family,male→family,marriage→society,love→nan,society→marriage,marriage→male,marriage→family,marriage→wealth,male→female,marriage→emotion,society→emotion,duty→nan,male→nan,female→nan,society→class,family→nan,female→emotion,family→female,emotion→love,female→duty,family→male,male→love,marriage→duty,emotion→wealth,wealth→class,male→marriage,marriage→nan,wealth→emotion,society→wealth,class→nan,society→nan,emotion→marriage,male→society,emotion→duty,wealth→marriage,male→emotion,male→class,female→love,wealth→family,family→marriage,emotion→male,marriage→love,female→wealth,female→society,marriage→class"
