layer,neuron,primary_concept,primary_AP,secondary_concept,secondary_AP,polarity_score,polarity_flag
1,100,wealth,0.3209744250320269,emotion,0.3202177690779548,0.002357371468581,two-strong
1,236,female,0.2889676113360324,marriage,0.2505829791870982,0.1328336827737558,two-strong
1,907,male,0.2810762363189522,female,0.2599359603204267,0.0752118934000687,two-strong
1,999,family,0.2712146541299601,female,0.2303691947428243,0.1506019627426237,two-strong
1,1307,family,0.3140625948517207,male,0.2785748130321597,0.1129958877252481,two-strong
1,1342,female,0.246496623233781,male,0.2153223969013442,0.1264691815936217,two-strong
1,1406,marriage,0.2750572082379863,female,0.2387218045112781,0.1321012593248188,two-strong
1,1604,emotion,0.2312786388133345,family,0.2239616693014484,0.0316370310625816,two-strong
1,1631,female,0.2838502506265665,family,0.2122008612057263,0.2524196790746628,leaning
1,1829,female,0.2406980994152046,male,0.220036604999011,0.0858398731878335,two-strong
1,2061,female,0.2755890891940212,male,0.2571368819944265,0.0669555067894882,two-strong
1,2155,family,0.4525193231512838,male,0.4318267740172338,0.0457274375472464,two-strong
1,2301,female,0.2891233319161283,male,0.2163292323465502,0.2517752504973196,leaning
1,2493,female,0.4152285978187842,family,0.4012620746477072,0.0336357447700087,two-strong
1,2660,female,0.2867794486215539,family,0.2297943333878761,0.1987071085772628,two-strong
1,2665,family,0.3099389225475815,female,0.2596885638231748,0.1621298743289089,two-strong
2,155,female,0.4323965134849731,family,0.314286667872322,0.2731517060292023,leaning
2,177,society,0.227973559853833,class,0.1559770638718007,0.3158107269649282,leaning
2,211,male,0.2660086013854907,family,0.2636419979119299,0.0088967178216711,two-strong
2,238,family,0.2361694048548706,male,0.2320979068918028,0.0172397349619865,two-strong
2,285,female,0.2962305603752972,marriage,0.2578904559535485,0.1294265664006736,two-strong
2,301,male,0.2360902255639098,,,0.9999999957643312,dominant
2,322,female,0.2612934638940752,family,0.2301721840705984,0.1191047002882102,two-strong
2,324,marriage,0.2717774374849447,emotion,0.1885892416992896,0.3060894099576384,leaning
2,375,female,0.3465397095661237,family,0.2740105296304782,0.2092954363503057,leaning
2,422,female,0.3046992481203008,marriage,0.242622083158206,0.2037325826739586,leaning
2,452,female,0.3351845565971796,marriage,0.2436562420544114,0.2730684110237731,leaning
2,553,emotion,0.2924870378371631,male,0.2276645114259575,0.2216252954965788,leaning
2,555,male,0.2645526676705001,duty,0.1621419261759683,0.3871090849666847,leaning
2,866,marriage,0.2975085385447653,society,0.2067034609391471,0.3052183905193584,leaning
2,910,family,0.3964322452332944,male,0.3962099962715631,0.0005606228147255,two-strong
2,1013,male,0.2487334327670462,family,0.2052879205908839,0.1746669577876355,two-strong
2,1086,female,0.3216723910529219,male,0.2703599038654812,0.1595178462782056,two-strong
2,1141,male,0.2829897716676582,family,0.2731705204531662,0.0346982547175783,two-strong
2,1215,family,0.2008434952928539,duty,0.1286687306501548,0.3593582365119736,leaning
2,1218,family,0.2512179785396552,female,0.2512031435670085,5.905219313477838e-05,two-strong
2,1240,male,0.2721804511278195,family,0.2139624270760936,0.2138949494594343,leaning
2,1247,female,0.3918185229358803,,,0.999999997447798,dominant
2,1320,male,0.3085447787975813,family,0.2685042483449309,0.1297721856740493,two-strong
2,1378,male,0.3676518312729933,family,0.2748155296572674,0.2525114618408645,leaning
2,1466,male,0.5667136414423994,family,0.2156598794338178,0.6194552869693138,dominant
2,1633,marriage,0.3497532847237369,female,0.2342874370047941,0.3301351336271561,leaning
2,1727,female,0.3002692306779072,family,0.1903567771626079,0.3660463408158987,leaning
2,1758,female,0.2539473684210526,emotion,0.1821040203815323,0.2829064471244897,leaning
2,1843,male,0.2740954675240675,family,0.2625010035509023,0.0423008232700758,two-strong
2,1883,marriage,0.2952418724927042,female,0.2399388537159435,0.1873142793822818,two-strong
2,1899,duty,0.2883002765153539,male,0.2110988411580924,0.2677813425037372,leaning
2,1980,marriage,0.3217354036406863,wealth,0.1945726301322907,0.3952402243402799,leaning
2,2020,male,0.2631752836332764,emotion,0.1825948788294128,0.3061853050378533,leaning
2,2021,family,0.2770813969384743,society,0.2713085684713893,0.0208344136778422,two-strong
2,2045,female,0.3094448674354408,male,0.2559606894823532,0.1728391174282665,two-strong
2,2206,male,0.2870572933528914,family,0.2205463886204935,0.2316990581351793,leaning
2,2242,male,0.2818616380648536,duty,0.1303969013566536,0.5373726528048375,dominant
2,2246,female,0.2676335749206183,male,0.2624207710351587,0.0194773913083526,two-strong
2,2255,emotion,0.3115046838137114,wealth,0.3072349081726722,0.0137069387691316,two-strong
2,2282,marriage,0.2736533261654142,society,0.2238703272826659,0.1819199473962769,two-strong
2,2303,female,0.2729729737465121,family,0.2462402719521053,0.0979316792046219,two-strong
2,2354,female,0.2685826427643836,family,0.257973285803267,0.0395012753334267,two-strong
2,2355,female,0.2574386857157406,marriage,0.2513874707655634,0.0235054607657272,two-strong
2,2363,female,0.3692111793142827,family,0.2509019039098964,0.3204379545161069,leaning
2,2403,male,0.316064528229325,family,0.2835930752592979,0.1027367830525108,two-strong
2,2417,male,0.3239287767508221,female,0.2392312170295213,0.2614696980904032,leaning
2,2462,marriage,0.3116441411154939,female,0.3050934565362892,0.0210197584165628,two-strong
2,2526,male,0.2320191909079681,family,0.2281511792308759,0.016671085030873,two-strong
2,2567,female,0.3130995922998754,male,0.2476178806895311,0.2091402001523147,leaning
2,2583,marriage,0.2521068339963404,female,0.235535298035298,0.065732196278149,two-strong
3,119,emotion,0.2056206035269144,family,0.1971396579801592,0.0412456016568372,two-strong
3,125,society,0.3139611916476346,emotion,0.2680084901125349,0.146364272436286,two-strong
3,159,female,0.2866024976115079,marriage,0.2444601709721029,0.1470410301500172,two-strong
3,181,female,0.3864664649492326,male,0.3077855738157589,0.2035904743771726,leaning
3,221,marriage,0.2470578620464204,male,0.2010025062656641,0.1864152600239355,two-strong
3,251,marriage,0.2811031090466207,love,0.1544923477146595,0.4504068322508524,leaning
