layer,neuron,primary_concept,primary_AP,secondary_concept,secondary_AP,polarity_score,polarity_flag
6,2,marriage,0.2982324795294585,love,0.2868321851004882,0.03822619993882339,two-strong
6,70,society,0.2323620226981267,emotion,0.2074699688176775,0.1071261709821727,two-strong
6,94,emotion,0.2034158828774151,class,0.1543317405306826,0.241299457107844,leaning
6,101,family,0.2024824147008623,emotion,0.1771199712128417,0.12525751137565372,two-strong
6,105,family,0.2431907530350644,female,0.235232329046124,0.03272502698763338,two-strong
6,113,emotion,0.3274616207476305,female,0.2500597088207108,0.2363694148762633,leaning
6,170,family,0.1956690368455074,love,0.1303171722409472,0.3339918534078932,leaning
6,190,emotion,0.1928059049943214,class,0.1486257731871767,0.2291430419587142,leaning
6,197,society,0.1995286350842523,emotion,0.1825236204425867,0.08522593536140417,two-strong
6,209,family,0.3059676432526246,male,0.2710881115980341,0.1139974513965011,two-strong
6,226,male,0.2541353383458646,duty,0.1302373581011351,0.4875275534824811,leaning
6,263,society,0.2705504218561672,emotion,0.1856588786014623,0.3137734635877313,leaning
6,271,marriage,0.2984214443341655,society,0.2071779651890454,0.3057537605682049,leaning
6,305,male,0.223588685331727,wealth,0.1946332497911445,0.1295031337033879,two-strong
6,346,marriage,0.257174390335938,love,0.2090323490222684,0.18719609313970653,two-strong
6,376,society,0.4968989283137924,marriage,0.2575362524593867,0.48171300385967986,leaning
6,408,society,0.245993618692512,marriage,0.2444005520136434,0.006476048772565256,two-strong
6,420,male,0.2217520598683175,duty,0.1380861947506058,0.37729464515504463,leaning
6,424,female,0.2342744018968418,duty,0.1794126343406578,0.23417738719129855,leaning
6,427,male,0.255442786354352,family,0.2065099489821788,0.19156084960932263,two-strong
6,443,society,0.2135015601692358,wealth,0.2036726015217995,0.046036940402722396,two-strong
6,495,marriage,0.2548246087858978,wealth,0.2111755611550269,0.17129055026335402,two-strong
6,529,female,0.2399767885623148,wealth,0.1953563909774436,0.1859363051995686,two-strong
6,558,society,0.2585990279436982,family,0.2009631729611021,0.22287730629933838,leaning
6,582,emotion,0.2248957382192797,family,0.197048732008181,0.12382184877209738,two-strong
6,599,emotion,0.2003296786946555,family,0.1897938794652626,0.05259230307486976,two-strong
6,641,family,0.268937329127082,marriage,0.2569880848938028,0.04443133360338178,two-strong
6,671,emotion,0.1929655765006173,class,0.1490747069694438,0.2274543993787342,leaning
6,680,family,0.2276916029569722,wealth,0.1911538847117794,0.16047020447928972,two-strong
6,703,female,0.3535842108710585,male,0.2325328851839931,0.34235500800926366,leaning
6,716,marriage,0.2504933195374131,female,0.2316817859867058,0.07509794476894108,two-strong
6,739,emotion,0.1990751672569854,wealth,0.190907268170426,0.04102922106294791,two-strong
6,770,female,0.3108689577598673,male,0.255301229584529,0.1787496841016601,two-strong
6,851,family,0.2586400513681762,female,0.2470148698635779,0.044947336648578126,two-strong
6,881,female,0.2973742816518281,family,0.218830600778324,0.2641239860188739,leaning
6,883,female,0.2212545079740555,society,0.2086136993368966,0.05713243402710115,two-strong
6,908,female,0.2284358042668813,male,0.2209245243530327,0.0328813598423118,two-strong
6,943,family,0.2401893769983079,male,0.2111551876969877,0.12088040505073759,two-strong
6,957,marriage,0.3107856602497738,class,0.2309502693708966,0.256882478290125,leaning
6,965,female,0.247182284385999,wealth,0.2072169447901003,0.16168367216723872,two-strong
6,996,emotion,0.2333294596367029,male,0.2328083921673285,0.002233183362068982,two-strong
6,1031,female,0.2715207596734877,marriage,0.2636766193896404,0.02888965198974291,two-strong
6,1035,marriage,0.3458363089537687,female,0.3211832405793424,0.07128536728176962,two-strong
6,1042,marriage,0.2538085496942511,family,0.1942736135644265,0.23456631373126194,leaning
6,1044,marriage,0.3241259270904081,society,0.3075847027223585,0.05103332666257969,two-strong
6,1069,duty,0.1590363859604004,,,0.9999999937121308,dominant
6,1074,emotion,0.2712654601704711,wealth,0.2639227779508666,0.027068253318803956,two-strong
6,1077,female,0.2413298829350848,wealth,0.2036857224303044,0.15598632001541218,two-strong
6,1110,marriage,0.2578228726440449,society,0.2281613556150292,0.1150461035895789,two-strong
6,1120,marriage,0.2846130912029592,class,0.1844066978912951,0.35207935283667957,leaning
6,1124,emotion,0.1898713726464923,love,0.1626325351222771,0.14345942203446213,two-strong
6,1126,male,0.2061224489795918,emotion,0.1947853292133413,0.055001867906057794,two-strong
6,1152,wealth,0.1967796264279236,family,0.1901205458259858,0.033840294795643294,two-strong
6,1225,female,0.2459496351259822,male,0.2171593500956744,0.11705764433642261,two-strong
6,1253,male,0.2041047907793398,emotion,0.1985407734211562,0.027260591530839345,two-strong
6,1279,wealth,0.2097979372033437,family,0.1996972083833093,0.04814503377170664,two-strong
6,1295,emotion,0.1838770590683187,family,0.1787311415794387,0.027985641531184203,two-strong
6,1307,emotion,0.2048407967992569,family,0.2041277531746351,0.0034809648872807797,two-strong
6,1328,female,0.2549087600243753,family,0.2543024848308214,0.002378400770210916,two-strong
6,1346,wealth,0.1999069073650309,duty,0.1452313983729026,0.27350485002894726,leaning
6,1351,marriage,0.2418445639125215,duty,0.2338804540217168,0.03293069618366411,two-strong
6,1352,female,0.2651928501671646,male,0.2290420293458557,0.13631898696440037,two-strong
6,1404,class,0.3336604868710279,wealth,0.250178815145635,0.2501994535165388,leaning
6,1419,male,0.2967823484149704,female,0.2502870562121599,0.15666461396529793,two-strong
6,1452,marriage,0.2704107177814085,male,0.2583593224692056,0.04456700298905259,two-strong
6,1461,female,0.2742481203007518,scandal,0.1137113617376775,0.5853704951620181,dominant
6,1541,wealth,0.2019015207742807,emotion,0.1901477775087784,0.05821522870264741,two-strong
6,1569,female,0.2491563522665077,marriage,0.2429900980571134,0.02474853291338156,two-strong
6,1580,male,0.2786102504152567,family,0.2352979457224224,0.15545840281475917,two-strong
6,1582,female,0.4231654271340822,family,0.3973198173411623,0.061076846251084976,two-strong
6,1588,female,0.2873003080566895,family,0.2515498899344825,0.12443571063180713,two-strong
6,1590,female,0.3168617914497506,male,0.2267576251842298,0.2843642509527554,leaning
6,1601,female,0.3199248120300752,marriage,0.2500096394833237,0.21853626133143655,leaning
6,1611,society,0.3880077628851325,class,0.1583478854785885,0.5918950567044156,dominant
6,1647,emotion,0.2310967217102877,society,0.2019634914547529,0.12606509479607553,two-strong
6,1660,class,0.2295807483773332,wealth,0.2135155627660576,0.06997618770235503,two-strong
6,1661,emotion,0.1951842415957248,wealth,0.1929624060150375,0.011383273317248688,two-strong
6,1664,female,0.2413873099277205,family,0.1812727659785182,0.2490377133668083,leaning
6,1699,love,0.248683656637372,wealth,0.2142268592494678,0.1385567419880431,two-strong
6,1723,marriage,0.3115192500507385,duty,0.1351535923188372,0.5661468982640043,dominant
6,1729,female,0.2529488916601504,male,0.2370329375941852,0.06292161985207452,two-strong
6,1741,society,0.192910085199237,emotion,0.1841854528357326,0.04522641887419835,two-strong
6,1745,marriage,0.2459829108031686,wealth,0.2250238423252465,0.08520538408250564,two-strong
6,1751,emotion,0.2104195161846018,,,0.9999999952475891,dominant
6,1770,society,0.354271891151428,male,0.215700343160862,0.39114462947948386,leaning
6,1773,male,0.2500682994728641,love,0.209662846849233,0.16157766717023628,two-strong
6,1779,marriage,0.2587447774657601,female,0.244927357615246,0.05340173406568876,two-strong
6,1794,society,0.3635072700941816,emotion,0.1978370885237271,0.4557547943175276,leaning
6,1804,marriage,0.2468974881133858,class,0.2460550687187406,0.003412020906613246,two-strong
6,1817,female,0.2410769173317349,family,0.2406388616485658,0.0018170784917961704,two-strong
6,1828,society,0.2305293654893328,wealth,0.1904997402939936,0.17364219494001637,two-strong
6,1830,wealth,0.3059223481324908,marriage,0.2799341086015349,0.08495044446622224,two-strong
6,1835,marriage,0.283502725679965,male,0.2160962436060061,0.23776308208157515,leaning
6,1849,wealth,0.2081872951298325,family,0.2006680489693295,0.0361176993038699,two-strong
6,1854,female,0.3207437985809075,marriage,0.285943098684385,0.10849999264831944,two-strong
6,1954,marriage,0.2478846182285009,wealth,0.2040511403075793,0.17683016420036846,two-strong
6,2009,female,0.3163331725603383,marriage,0.2467466945038509,0.21997844005195458,leaning
6,2010,family,0.2570935545117323,female,0.2470842285883004,0.038932620864450866,two-strong
6,2022,male,0.3001838971387843,female,0.2602638736185058,0.1329852259491355,two-strong
6,2033,society,0.2920064624671391,class,0.2491299863682271,0.14683399671986064,two-strong
6,2035,family,0.2293214565461481,male,0.2181528337949545,0.04870291193289686,two-strong
6,2042,marriage,0.2603872290914649,male,0.2044767957754836,0.21472033515753403,leaning
6,2044,society,0.2716170374677363,emotion,0.1988619440450929,0.26785909246737305,leaning
6,2047,family,0.1981424148606811,love,0.1350335085362308,0.3185027599987665,leaning
6,2072,male,0.2917666987813359,family,0.2246430589323254,0.2300592901771045,leaning
6,2084,family,0.2096310134156117,class,0.1623823810705139,0.22538951345922165,leaning
6,2091,male,0.2309036226305506,love,0.1819007284911601,0.21222228291140155,leaning
6,2124,wealth,0.1986806397332072,class,0.1480651024548483,0.25475827484534125,leaning
6,2128,society,0.2021733723622032,emotion,0.1947856901206183,0.03654132153371905,two-strong
6,2142,marriage,0.2723602312542212,emotion,0.2407318147935117,0.1161271460188341,two-strong
6,2153,wealth,0.196869871648819,family,0.18234399022767,0.07378417644969272,two-strong
6,2162,marriage,0.2488358156017894,duty,0.1834770578331098,0.2626581601525349,leaning
6,2163,marriage,0.2510218229368848,society,0.2160387808781928,0.1393625522675187,two-strong
6,2175,wealth,0.2057888824625666,class,0.1579858737753474,0.23229150128468756,leaning
6,2183,love,0.2199575524858633,wealth,0.2194211255952244,0.0024387745823576763,two-strong
6,2200,society,0.2204222648995681,male,0.2137984895524599,0.030050391325376447,two-strong
6,2224,wealth,0.2147816043605517,emotion,0.1899663819988347,0.11553700010789997,two-strong
6,2228,male,0.3149143575128235,class,0.1494107744107744,0.525551085963931,dominant
6,2238,male,0.3049578214562466,family,0.1847237629321045,0.39426454962109564,leaning
6,2242,marriage,0.2738566838800032,society,0.2026553049360297,0.25999503709457406,leaning
6,2252,male,0.2481203007518797,love,0.1309653443954714,0.47216997371526365,leaning
6,2271,emotion,0.211421060188133,,,0.9999999952701023,dominant
6,2281,family,0.1898861973939373,love,0.1321968714890675,0.3038099998462643,leaning
6,2330,emotion,0.3470480123088,male,0.2604228938770058,0.24960557360896346,leaning
6,2338,emotion,0.2239895625262185,wealth,0.189500182266235,0.15397762162229683,two-strong
6,2342,duty,0.2492022501579032,society,0.2136439693141948,0.14268844153088106,two-strong
6,2353,society,0.3630496617418517,marriage,0.240920716732364,0.33639735150044225,leaning
6,2375,female,0.231286423007899,wealth,0.1926100037468068,0.16722304141712743,two-strong
6,2376,female,0.3723682641732609,male,0.2982559249878865,0.19902968678303007,two-strong
6,2380,male,0.2516758406789035,society,0.2000471351264897,0.20513969560210477,leaning
6,2382,emotion,0.192508129828704,duty,0.1483414418398938,0.22942764962021384,leaning
6,2389,emotion,0.2121719521839139,male,0.2032581453634085,0.04201218250924421,two-strong
6,2415,family,0.1931622888389805,duty,0.1277310924369747,0.33873690592790684,leaning
6,2424,marriage,0.2493102427851385,female,0.2462822539302802,0.012145465059461806,two-strong
6,2462,emotion,0.2143391263339082,class,0.150614227146297,0.2973087554300684,leaning
6,2509,wealth,0.2003062257486364,emotion,0.196155504275339,0.020721879397718992,two-strong
6,2529,marriage,0.244362009645863,society,0.2228876957523555,0.0878791013249139,two-strong
6,2535,wealth,0.1976733500417711,duty,0.134141604010025,0.3213976274339629,leaning
6,2540,female,0.2604193143293454,family,0.1839113967639415,0.2937874153791026,leaning
6,2541,emotion,0.2003489392210192,wealth,0.1907427660059239,0.047947212520805166,two-strong
6,2557,emotion,0.1960251499580318,love,0.1586896182408503,0.1904629662811733,two-strong
6,2584,emotion,0.2175332274432331,male,0.2067913891335605,0.04938021830754829,two-strong
6,2621,emotion,0.2015464889794014,wealth,0.1902930449667291,0.05583547505006123,two-strong
6,2639,wealth,0.2026275684816215,love,0.1520465805319646,0.2496253993425344,leaning
6,2667,female,0.3103585991756058,family,0.239701238351942,0.227663614875453,leaning
6,2669,marriage,0.2440813508891312,scandal,0.1329679214547635,0.45523112918859376,leaning
6,2700,emotion,0.2451428895991255,duty,0.1430787509118649,0.41634549726413606,leaning
6,2716,female,0.279131060650705,marriage,0.2435997532627334,0.12729255991020533,two-strong
6,2726,wealth,0.1934449260405916,family,0.1808418104083738,0.06515092344382452,two-strong
6,2761,family,0.1973455612382666,class,0.1919356492179799,0.027413395867270676,two-strong
6,2763,emotion,0.2765017797963401,society,0.2069232887623721,0.2516384915626156,leaning
6,2766,marriage,0.2492494391471218,female,0.232503101648382,0.06718706163935662,two-strong
6,2785,female,0.3069468906533557,marriage,0.2373620897828426,0.22669980626191608,leaning
6,2801,wealth,0.2031769423558897,love,0.1382059713363501,0.3197753147892124,leaning
6,2851,male,0.3970223756480882,female,0.331199415383943,0.16579156273221649,two-strong
6,2855,emotion,0.2271087808708492,wealth,0.1955535971689911,0.13894303620457404,two-strong
6,2867,female,0.3113822128787356,family,0.2906468629171148,0.06659131137687894,two-strong
6,2871,female,0.4534996585463117,family,0.2373476360991119,0.4766310578125719,leaning
6,2880,society,0.225927593167405,male,0.2256992047427807,0.0010108921199552447,two-strong
6,2905,male,0.2060150375939849,family,0.1922600619195046,0.06676685240240475,two-strong
6,2955,marriage,0.2685989802939786,,,0.9999999962769776,dominant
6,2969,society,0.2126358261840942,emotion,0.203185214259683,0.04444505918670579,two-strong
6,2994,society,0.258472485507188,wealth,0.23850405445752,0.07725553817935159,two-strong
