primary_concept,secondary_concept,count,share_within_primary_%
marriage,female,27732,98.99336046262583
female,marriage,182,35.33980582524272
female,male,145,28.155339805825243
emotion,None,86,44.55958549222798
wealth,None,79,49.685534591194966
female,family,72,13.980582524271844
male,family,62,27.678571428571427
marriage,society,57,0.20346969372456628
love,None,54,71.05263157894737
society,marriage,53,30.45977011494253
marriage,male,45,0.16063396872992075
marriage,family,44,0.15706432498036696
marriage,wealth,43,0.15349468123081317
male,female,42,18.75
marriage,emotion,34,0.12136788748482902
society,emotion,34,19.54022988505747
duty,None,33,68.75
male,None,31,13.839285714285714
female,None,31,6.019417475728155
society,class,31,17.816091954022987
family,None,30,25.210084033613445
female,emotion,29,5.631067961165049
family,female,26,21.84873949579832
emotion,love,24,12.435233160621761
female,duty,23,4.466019417475728
family,male,22,18.48739495798319
male,love,21,9.375
marriage,duty,21,0.07496251874062969
emotion,wealth,20,10.362694300518134
wealth,class,20,12.578616352201259
male,marriage,20,8.928571428571429
marriage,None,19,0.06782323124152209
wealth,emotion,18,11.320754716981131
society,wealth,17,9.770114942528735
class,None,15,48.38709677419355
society,None,14,8.045977011494253
emotion,marriage,14,7.253886010362694
male,society,13,5.803571428571429
emotion,duty,11,5.699481865284974
wealth,marriage,11,6.918238993710692
male,emotion,11,4.910714285714286
male,class,11,4.910714285714286
female,love,10,1.941747572815534
wealth,family,9,5.660377358490566
family,marriage,9,7.563025210084033
emotion,male,9,4.66321243523316
marriage,love,9,0.03212679374598415
female,wealth,8,1.5533980582524272
female,society,8,1.5533980582524272
marriage,class,7,0.02498750624687656
wealth,love,7,4.40251572327044
family,duty,7,5.882352941176471
family,emotion,7,5.882352941176471
emotion,class,7,3.626943005181347
society,female,6,3.4482758620689653
male,duty,6,2.6785714285714284
society,male,6,3.4482758620689653
wealth,society,6,3.7735849056603774
wealth,duty,6,3.7735849056603774
emotion,female,6,3.1088082901554404
emotion,society,6,3.1088082901554404
class,wealth,6,19.35483870967742
love,emotion,5,6.578947368421052
emotion,family,5,2.5906735751295336
emotion,scandal,5,2.5906735751295336
duty,love,5,10.416666666666666
male,wealth,5,2.232142857142857
scandal,None,5,62.5
society,duty,5,2.8735632183908044
family,society,4,3.361344537815126
female,class,4,0.7766990291262136
family,love,4,3.361344537815126
family,wealth,4,3.361344537815126
love,wealth,4,5.2631578947368425
love,marriage,4,5.2631578947368425
society,scandal,4,2.2988505747126435
marriage,scandal,3,0.010708931248661383
female,scandal,3,0.5825242718446602
love,society,3,3.9473684210526314
family,scandal,3,2.5210084033613445
class,love,3,9.67741935483871
family,class,3,2.5210084033613445
male,scandal,2,0.8928571428571429
wealth,male,2,1.2578616352201257
class,female,2,6.451612903225806
duty,emotion,2,4.166666666666667
duty,scandal,2,4.166666666666667
duty,female,2,4.166666666666667
love,duty,2,2.6315789473684212
scandal,emotion,2,25.0
society,family,2,1.1494252873563218
society,love,2,1.1494252873563218
duty,male,1,2.0833333333333335
duty,marriage,1,2.0833333333333335
class,duty,1,3.225806451612903
class,marriage,1,3.225806451612903
class,male,1,3.225806451612903
class,society,1,3.225806451612903
duty,class,1,2.0833333333333335
class,emotion,1,3.225806451612903
duty,society,1,2.0833333333333335
love,female,1,1.3157894736842106
love,scandal,1,1.3157894736842106
love,class,1,1.3157894736842106
love,family,1,1.3157894736842106
scandal,class,1,12.5
wealth,female,1,0.6289308176100629
