layer,neuron_id,primary_concept,primary_AP,secondary_concept,secondary_AP,polarity_score,polarity_flag
6,4328,male,0.7261912941062467,,,0.9999999986229524,dominant
7,1773,male,0.6527723618134995,family,0.2439530262562851,0.6262816241103888,dominant
5,2246,male,0.626468657414909,family,0.2024639477746709,0.6768171143837504,dominant
4,2130,male,0.591075112632674,family,0.2106006405006985,0.6436990212523529,dominant
3,2130,male,0.5795554571030597,love,0.1457659197544596,0.7484866741975559,dominant
2,1466,male,0.5667136414423994,,,0.9999999982354404,dominant
5,2093,female,0.5612504284758084,love,0.1611981059441259,0.7127875570720182,dominant
7,121,family,0.520283263490767,female,0.347617695164215,0.3318683880703916,leaning
3,3419,female,0.5083924337387776,family,0.3061099391669204,0.3978865159073307,leaning
8,3036,society,0.4973540722034092,emotion,0.1914520410306043,0.6150588638040494,dominant
