layer,neuron,concept,AP,AUROC,ΔP,P(fire|1),P(fire|0),lift,label_support,neuron_fires_total
1,236,female,0.2889676113360324,0.5367677234020725,0.0394777943774439,0.039479743687583,1.949310139141758e-06,20253.177081297134,152,6
1,236,male,0.2060150375939849,0.4907004352987733,-0.0018741379867287,0.0075262026134945,0.0094003406002233,0.8006308423032154,133,6
1,236,family,0.2150096070816991,0.5272955335980546,0.0197217466986487,0.0252180635619569,0.0054963168633081,4.58817498782088,119,6
1,236,marriage,0.2505829791870982,0.5016082519964508,0.0126851785549366,0.0186395200059626,0.0059543414510259,3.130408317383359,161,6
1,236,love,0.1308270676691729,0.4870242214532872,-0.0103708230275601,1.149398864393922e-05,0.010382317016204,0.0011070735583293,87,6
1,236,wealth,0.1869994987468671,0.4909333333333333,-0.0111049219319912,7.999872002047968e-06,0.0111129218039933,0.0007198711682154,125,6
1,236,emotion,0.1810452705189547,0.4962095892075838,-0.0110229451178734,8.26432620948414e-06,0.0110312094440829,0.0007491768015671,121,6
1,236,scandal,0.1082706766917293,0.4873524451939292,-0.0101058075518908,1.3888503097136193e-05,0.010119696054988,0.0013724229483076,72,6
1,236,duty,0.1278195488721804,0.4870689655172414,-0.0103347516174241,1.1764429072257124e-05,0.0103465160464963,0.0011370425579249,85,6
1,236,class,0.1488721804511278,0.4867491166077738,-0.0105923352277506,1.0100806044322335e-05,0.0106024360337949,0.000952687289145,99,6
1,236,society,0.1969924812030075,0.4859550561797753,-0.0112301521550263,7.63347124471382e-06,0.011237785626271,0.0006792682738305,131,6
1,907,female,0.2599359603204267,0.4946522006771314,0.0034158004638827,0.0131643004697306,0.0097485000058479,1.3503924152929438,152,7
1,907,male,0.2810762363189522,0.56272966250212,0.0150429220540095,0.0225635704726244,0.0075206484186149,3.000216100220205,133,7
1,907,family,0.2547992686264375,0.5762766645119587,-0.0128138941341082,8.403220113947665e-06,0.0128222973542221,0.0006553599469072,119,7
1,907,marriage,0.1878316167139226,0.3593549738736074,-0.0138846067906121,6.211102967664998e-06,0.0138908178935797,0.0004471373114817,161,7
1,907,love,0.1142478628844058,0.4176510360736586,0.001123165616379,0.0115054826325831,0.010382317016204,1.108180631887652,87,7
1,907,wealth,0.1434485272336716,0.3017111111111111,-0.0031050499299433,0.00800787187405,0.0111129218039933,0.7205910393837085,125,7
1,907,emotion,0.1507073651294174,0.3938153257170637,-0.0027586189083893,0.0082725905356936,0.0110312094440829,0.7499259783686787,121,7
