id,text,female,male,family,marriage,love,wealth,emotion,scandal,duty,class,society
1,She is,1,0,0,0,0,0,0,0,0,0,0
2,She was,1,0,0,0,0,0,0,0,0,0,0
3,She had,1,0,0,0,0,0,0,0,0,0,0
4,She thought,1,0,0,0,0,0,0,0,0,0,0
5,ladies are,1,0,0,0,0,0,0,0,0,0,0
6,her beauty,1,0,0,0,0,0,0,0,0,0,0
7,this lady,1,0,0,0,0,0,0,0,0,0,0
8,the woman can,1,0,0,0,0,0,0,0,0,0,0
9,women are,1,0,0,0,0,0,0,0,0,0,0
10,a well-mannered woman,1,0,0,0,0,0,0,0,0,0,0
11,young lady,1,0,0,0,0,0,0,0,0,0,0
12,i told her,1,0,0,0,0,0,0,0,0,0,0
13,the girls want to,1,0,0,0,0,0,0,0,0,0,0
14,a young girl,1,0,0,0,0,0,0,0,0,0,0
15,the lady of the house,1,0,0,0,0,0,0,0,0,0,0
16,her dress,1,0,0,0,0,0,0,0,0,0,0
17,The governess said,1,0,0,0,0,0,0,0,0,0,0
18,her manners were,1,0,0,0,0,0,0,0,0,0,0
19,a most accomplished lady,1,0,0,0,0,0,0,0,0,0,0
20,the young women,1,0,0,0,0,0,0,0,0,0,0
21,her character was,1,0,0,0,0,0,0,0,0,0,0
22,the ladies behaved,1,0,0,0,0,0,0,0,0,0,0
23,a proper young woman,1,0,0,0,0,0,0,0,0,0,0
24,a woman of sensibility,1,0,0,0,0,0,0,0,0,0,0
25,the lady appeared,1,0,0,0,0,0,0,0,0,0,0
26,she bore herself with,1,0,0,0,0,0,0,0,0,0,0
27,her countenance expressed,1,0,0,0,0,0,0,0,0,0,0
28,a genteel young lady,1,0,0,0,0,0,0,0,0,0,0
29,She felt,1,0,0,0,0,0,1,0,0,0,0
30,she desired nothing more,1,0,0,0,0,0,1,0,0,0,0
31,she must,1,0,0,0,0,0,0,0,1,0,0
32,she ought to,1,0,0,0,0,0,0,0,1,0,0
33,she is expected to,1,0,0,0,0,0,0,0,1,0,0
34,ladies ought not,1,0,0,0,0,0,0,0,1,0,0
35,little girl should,1,0,0,0,0,0,0,0,1,0,0
36,her reputation is,1,0,0,0,0,0,0,1,0,0,0
37,Her opinion,1,0,0,0,0,0,0,0,0,0,0
38,Her conduct,1,0,0,0,0,0,0,0,0,0,0
39,Her sister,1,0,1,0,0,0,0,0,0,0,0
40,Her aunt,1,0,1,0,0,0,0,0,0,0,0
41,Her niece,1,0,1,0,0,0,0,0,0,0,0
42,Her daughter,1,0,1,0,0,0,0,0,0,0,0
43,Her grandmother,1,0,1,0,0,0,0,0,0,0,0
44,my sister is,1,0,1,0,0,0,0,0,0,0,0
45,her mother said,1,0,1,0,0,0,0,0,0,0,0
46,the daughter of the house,1,0,1,0,0,0,0,0,0,0,0
47,a wife is,1,0,1,1,0,0,0,0,0,0,0
48,Her marriage,1,0,0,1,0,0,0,0,0,0,0
49,Her husband,1,0,1,1,0,0,0,0,0,0,0
50,He is,0,1,0,0,0,0,0,0,0,0,0
51,He was,0,1,0,0,0,0,0,0,0,0,0
52,He had,0,1,0,0,0,0,0,0,0,0,0
53,He felt,0,1,0,0,0,0,0,0,0,0,0
54,He thought,0,1,0,0,0,0,0,0,0,0,0
55,His opinion,0,1,0,0,0,0,0,0,0,0,0
56,His conduct,0,1,0,0,0,0,0,0,0,0,0
57,the man can,0,1,0,0,0,0,0,0,0,0,0
58,men are,0,1,0,0,0,0,0,0,0,0,0
59,a respectable man,0,1,0,0,0,0,0,0,0,0,0
60,his pride was wounded,0,1,0,0,0,0,0,0,0,0,0
61,young man,0,1,0,0,0,0,0,0,0,0,0
62,the boys want to,0,1,0,0,0,0,0,0,0,0,0
63,i told him,0,1,0,0,0,0,0,0,0,0,0
64,a young boy,0,1,0,0,0,0,0,0,0,0,0
65,be introduced to the Captain,0,1,0,0,0,0,0,0,0,0,0
66,the colonel returned,0,1,0,0,0,0,0,0,0,0,0
67,his manners were civil,0,1,0,0,0,0,0,0,0,0,0
68,he is a man of honour,0,1,0,0,0,0,0,0,0,0,0
69,the boy had gone hunting,0,1,0,0,0,0,0,0,0,0,0
70,he dined with the general,0,1,0,0,0,0,0,0,0,0,1
71,the captain's conduct,0,1,0,0,0,0,0,0,0,0,0
72,he read aloud,0,1,0,0,0,0,0,0,0,0,0
73,the old man laughed,0,1,0,0,0,0,0,0,0,0,0
74,his voice was,0,1,0,0,0,0,0,0,0,0,0
75,the steward answered,0,1,0,0,0,0,0,0,0,0,0
76,his tutor advised him,0,1,0,0,0,0,0,0,0,0,0
77,he wished to,0,1,0,0,0,0,0,0,0,0,0
78,a man of,0,1,0,0,0,0,0,0,0,0,0
79,this gentleman,0,1,0,0,0,0,0,0,0,1,0
80,he was a fine gentleman,0,1,0,0,0,0,0,0,0,1,0
81,his duty is to,0,1,0,0,0,0,0,0,1,0,0
82,he must,0,1,0,0,0,0,0,0,1,0,0
83,men ought to,0,1,0,0,0,0,0,0,1,0,0
84,my husband is,0,1,1,0,0,0,0,0,0,0,0
85,his father's house,0,1,1,0,0,0,0,0,0,0,0
86,father was displeased,0,1,1,0,0,0,1,0,0,0,0
87,his uncle spoke,0,1,1,0,0,0,0,0,0,0,0
88,his cousin was,0,1,1,0,0,0,0,0,0,0,0
89,his son is,0,1,1,0,0,0,0,0,0,0,0
90,he talked to his father,0,1,1,0,0,0,0,0,0,0,0
91,he wrote to his brother,0,1,1,0,0,0,0,0,0,0,0
92,His brother,0,1,1,0,0,0,0,0,0,0,0
93,His father,0,1,1,0,0,0,0,0,0,0,0
94,His uncle,0,1,1,0,0,0,0,0,0,0,0
95,His nephew,0,1,1,0,0,0,0,0,0,0,0
96,His son,0,1,1,0,0,0,0,0,0,0,0
97,His grandfather,0,1,1,0,0,0,0,0,0,0,0
98,my brother insisted,0,1,1,0,0,0,0,0,0,0,0
99,The family,0,0,1,0,0,0,0,0,0,0,0
100,Their family,0,0,1,0,0,0,0,0,0,0,0
101,The parents,0,0,1,0,0,0,0,0,0,0,0
102,Their sibling,0,0,1,0,0,0,0,0,0,0,0
103,The cousin,0,0,1,0,0,0,0,0,0,0,0
104,A relative,0,0,1,0,0,0,0,0,0,0,0
105,Their children,0,0,1,0,0,0,0,0,0,0,0
106,the brother,0,1,1,0,0,0,0,0,0,0,0
107,the father,0,1,1,0,0,0,0,0,0,0,0
108,the uncle,0,1,1,0,0,0,0,0,0,0,0
109,the nephew,0,1,1,0,0,0,0,0,0,0,0
110,the son,0,1,1,0,0,0,0,0,0,0,0
111,the grandfather,0,1,1,0,0,0,0,0,0,0,0
112,the aunt,1,0,1,0,0,0,0,0,0,0,0
113,the niece,1,0,1,0,0,0,0,0,0,0,0
114,the daughter,1,0,1,0,0,0,0,0,0,0,0
115,the grandmother,1,0,1,0,0,0,0,0,0,0,0
116,the sister is,1,0,1,0,0,0,0,0,0,0,0
117,the mother is so,1,0,1,0,0,0,0,0,0,0,0
118,the family house,0,0,1,0,0,0,0,0,0,0,0
119,father's approval,0,1,1,0,0,0,0,0,0,0,0
120,sister's duty is to,1,0,1,0,0,0,0,0,1,0,0
121,family ties,0,0,1,0,0,0,0,0,0,0,0
122,the sisters were,0,0,1,0,0,0,0,0,0,0,0
123,my uncle,0,1,1,0,0,0,0,0,0,0,0
124,my aunt,1,0,1,0,0,0,0,0,0,0,0
125,a household of many duties,0,0,1,0,0,0,0,0,1,0,0
126,the family name,0,0,1,0,0,0,0,0,0,0,0
127,the parents were concerned,0,0,1,0,0,0,1,0,0,0,0
128,a family gathering,0,0,1,0,0,0,0,0,0,0,1
129,the relatives arrived at,0,0,1,0,0,0,0,0,0,0,0
130,visits among cousins were ,0,0,1,0,0,0,0,0,0,0,0
131,the cousins visited often,0,0,1,0,0,0,0,0,0,0,0
132,the siblings disagreed,0,0,1,0,0,0,0,0,0,0,0
133,the family carriage was sent,0,0,1,0,0,0,0,0,0,0,0
134,wrote to uncle,0,1,1,0,0,0,0,0,0,0,0
135,the husband,1,0,1,1,0,0,0,0,0,0,0
136,the wife,0,1,1,1,0,0,0,0,0,0,0
137,her husband was,1,1,1,1,0,0,0,0,0,0,0
138,his wife is,1,1,1,1,0,0,0,0,0,0,0
139,An advantageous marriage,0,0,0,1,0,0,0,0,0,0,0
140,A secret marriage,0,0,0,1,0,0,0,1,0,0,0
141,A happy marriage,0,0,0,1,0,0,1,0,0,0,0
142,A loveless marriage,0,0,0,1,1,0,0,0,0,0,0
143,A marriage of convenience,0,0,0,1,0,0,0,0,0,0,0
144,A marriage settlement,0,0,0,1,0,1,0,0,0,0,0
145,A hasty wedding,0,0,0,1,0,0,0,1,0,0,0
146,The nuptials,0,0,0,1,0,0,0,0,0,0,0
147,Marriage to a wealthy,0,0,0,1,0,1,0,0,0,0,0
148,Marriage for love,0,0,0,1,1,0,0,0,0,0,0
149,Marriage without fortune,0,0,0,1,0,1,0,0,0,0,0
150,The state of wedlock,0,0,0,1,0,0,0,0,0,0,0
151,An elopement with,0,0,0,1,0,0,0,1,0,0,0
152,Her marriage,1,0,0,1,0,0,0,0,0,0,0
153,His marriage,0,1,0,1,0,0,0,0,0,0,0
154,Their wedding,0,0,0,1,0,0,0,0,0,0,0
155,happily married,0,0,0,1,0,0,1,0,0,0,0
156,she is married to,1,0,0,1,0,0,0,0,0,0,0
157,a good match must be,0,0,0,1,0,0,0,0,0,0,0
158,a suitable wife,1,0,1,1,0,0,0,0,0,0,0
159,a suitable match,0,0,0,1,0,0,0,0,0,0,0
160,a suitable husband,0,1,1,1,0,0,0,0,0,0,0
161,one must marry,0,0,0,1,0,0,0,0,1,0,0
162,a respectable marriage,0,0,0,1,0,0,0,0,0,0,0
163,love and marriage,0,0,0,1,1,0,1,0,0,0,0
164,their marriage,0,0,0,1,0,0,0,0,0,0,0
165,a sensible marriage is,0,0,0,1,0,0,0,0,0,0,0
166,they are engaged,0,0,0,1,0,0,0,0,0,0,0
167,to be wed,0,0,0,1,0,0,0,0,0,0,0
168,the wedding,0,0,0,1,0,0,0,0,0,0,0
169,their honeymoon,0,0,0,1,0,0,0,0,0,0,0
170,the bride,1,0,0,1,0,0,0,0,0,0,0
171,the groom,0,1,0,1,0,0,0,0,0,0,0
172,long courtships are,0,0,0,1,0,0,0,0,0,0,1
173,an eligible match,0,0,0,1,0,0,0,0,0,0,0
174,an advantageous marriage,0,0,0,1,0,0,0,0,0,0,0
175,a prudent engagement,0,0,0,1,0,0,0,0,0,0,0
176,matrimony requires understanding,0,0,0,1,0,0,0,0,0,0,0
177,a secret engagement,0,0,0,1,0,0,0,0,0,0,0
178,matrimony must suit,0,0,0,1,0,0,0,0,0,0,0
179,an agreeable engagement,0,0,0,1,0,0,0,0,0,0,0
180,the family approved the match,0,0,1,1,0,0,0,0,0,0,0
181,married in haste,0,0,0,1,0,0,0,0,0,0,0
182,they are to be married,0,0,0,1,0,0,0,0,0,0,0
183,to secure a match,0,0,0,1,0,0,0,0,0,0,0
184,the match is settled,0,0,0,1,0,0,0,0,0,0,0
185,the marriage was arranged,0,0,0,1,0,0,0,0,0,0,0
186,a private ceremony,0,0,0,1,0,0,0,0,0,0,0
187,they announced the engagement,0,0,0,1,0,0,0,0,0,0,0
188,a delayed wedding,0,0,0,1,0,0,0,0,0,0,0
189,an unequal match,0,0,0,1,0,0,0,0,0,0,0
190,Courtship must be,0,0,0,1,0,0,0,0,0,0,1
191,true love is,0,0,0,0,1,0,0,0,0,0,0
192,love must be,0,0,0,0,1,0,0,0,0,0,0
193,the heart was won,0,0,0,0,1,0,0,0,0,0,0
194,love is sensible,0,0,0,0,1,0,0,0,0,0,0
195,declaration of love,0,0,0,0,1,0,0,0,0,0,0
196,an affection,0,0,0,0,1,0,0,0,0,0,0
197,love conquers,0,0,0,0,1,0,0,0,0,0,0
198,romantic love is,0,0,0,0,1,0,0,0,0,0,0
199,i love,0,0,0,0,1,0,0,0,0,0,0
200,falling in love,0,0,0,0,1,0,0,0,0,0,0
201,love grew quietly,0,0,0,0,1,0,0,0,0,0,0
202,affection endured,0,0,0,0,1,0,0,0,0,0,0
203,devoted regard formed,0,0,0,0,1,0,0,0,0,0,0
204,passion is,0,0,0,0,1,0,0,0,1,0,0
205,warmth of sentiment,0,0,0,0,1,0,0,0,0,0,0
206,mutual affection,0,0,0,0,1,0,0,0,0,0,0
207,love in its truest sense,0,0,0,0,1,0,0,0,0,0,0
208,love endured,0,0,0,0,1,0,0,0,0,0,0
209,affections ripened with time,0,0,0,0,1,0,0,0,0,0,0
210,deeply in love with,0,0,0,0,1,0,0,0,0,0,0
211,devotion of the heart,0,0,0,0,1,0,0,0,0,0,0
212,romance blossomed,0,0,0,0,1,0,0,0,0,0,0
213,a romantic attachment,0,0,0,0,1,0,0,0,0,0,0
214,I love you,0,0,0,0,1,0,0,0,0,0,0
215,he loves,0,1,0,0,1,0,0,0,0,0,0
216,she loves,1,0,0,0,1,0,0,0,0,0,0
217,He loves her,1,1,0,0,1,0,0,0,0,0,0
218,of high status,0,0,0,0,0,0,0,0,0,1,0
219,the first class of society,0,0,0,0,0,0,0,0,0,1,1
220,respectable birth,0,0,0,0,0,0,0,0,0,1,0
221,inferiority of connections,0,0,0,0,0,0,0,0,0,1,0
222,noble birth,0,0,0,0,0,0,0,0,0,1,0
223,born into privilege,0,0,0,0,0,0,0,0,0,1,0
224,social status,0,0,0,0,0,0,0,0,0,1,1
225,succeeded to the estate,0,0,0,0,0,1,0,0,0,1,0
226,distinguished rank,0,0,0,0,0,0,0,0,0,1,0
227,a society governed by class,0,0,0,0,0,0,0,0,0,1,1
228,a regard for rank,0,0,0,0,0,0,1,0,0,1,0
229,the disadvantage of a low birth,0,0,0,0,0,0,0,0,0,1,0
230,a name of importance,0,0,0,0,0,0,0,0,0,1,0
231,a well-born connection,0,0,0,0,0,0,0,0,0,1,0
232,received in higher circles,0,0,0,0,0,0,0,0,0,1,1
233,looked down upon,0,0,0,0,0,0,0,0,0,1,0
