title,author,is_novel
"''He Cometh Not,' she said.' [A novel.]","Thomas, afterwards Cudlip, Annie Hall",True
''Tween the New and the Old.' A tale of three lovers,"Wemyss, George",True
'A Dash of Bitter.' A temperance story,"Hilton, J. Deane",True
"'A Daughter of Moab.' A Sacred Cantata [in verse, on the history of Ruth] . The words written by L. S. J, etc","Jones, Lewis S.",False
'A Drug in the Market': being some of the Songs of Zion that are not wanted. Written by Jacobus,,False
"'A Peep into the Past': Brighton in 1744-61. With an illustration, South view of Brighton in ... 1743 [With folding plates.]","Bishop, John George",False
"'A Peep into the Past': Brighton in the Olden Time, with glances at the present, etc [With plates, including portraits.]","Bishop, John George",False
'Alter Ejusdem': being another instalment of lilts and lyrics. By the author of 'Mistura curiosa' [i.e. J. A. Sidey] . With ... pen and ink sketches and occasional music,,False
'And shall Trelawney die?' and The Mist on the Moors. Being romances of the parish of Altarnun in the county of Cornwall,"Hocking, Joseph",True
'As One that Serveth.' Sacred poems,"Chadwick, G. A. (George Alexander)",False
'As one possessed.' A novel,"Gibbs, D. Cecil",True
"'As thy Days, so shall thy Strength be.' Daily texts and hymns for a month. Illustrated by Fred. Hines",,False
'Astonished at America' [An account of a short visit to America.] By Z. Z,"Zigzag, Zelotes, pseudonym",False
'B' Confidential. A dramatic romance,"Poultney, Alfred Henry",True
"'B,' an autobiography","Fenton, Edward Dyne",False
'Bail Up!' A romance of bushrangers and blacks,"Nisbet, Hume",True
"'Barrow's Travels in China.' An investigation into the origin and authenticity of the 'facts and observations' related in a work entitled 'Travels in China, by J. Barrow' ... preceded by a preliminary inquiry into the nature of the 'powerful motive' of the same author, and its influence on his duties at the Chinese capital, as comptroller to the British Embassy in 1793","Proudfoot, William Jardine",False
"'Beachy Head,' a paper, etc [Illustrated with etchings by the author.]","Bourdillon, Francis William",False
"'Beautiful Canada,' or Scenes from our home land. pt. 1",Canada,False
"'Belles of the Ballet.' [In verse.] By the author of 'Worthy a Crown,' etc",,False
"'Bobs.' [A poem on Robert Anderson signed: J. M. B, i.e. J. M. Bulloch. With a portrait and illustrations.]","Becker, Johann Michael",False
"'Bonnie Lesley,' etc [A novel.]","Martin, Mary Emma",True
'Boot and saddle!' Bits of South-African life in bush and barracks [With a preface by G. A. Walstab.],"Humphreys, Henry R. Morin",False
"'Boots and Saddles'; or, Life in Dakota with General Custer","Custer, Elizabeth Bacon",False
'Brave Translunary Things' from the works in prose and verse of Ben Jonson. Selected by A. B. Grosart,"Jonson, Ben",False
'Buried Coventry.' [By William G. Fretton.],,True
"'Buttons,' the narrative of the trials and travels of a young gentleman","Moncrieff, A. R. Hope (Ascott Robert Hope)",True
'By the World Forgot.' [A novel.],"Clayden, E. J.",True
"'Can such things be?' Or, the Weird of the Beresfords. A study in occult willpower","Fleming, Keith",False
'Captains Courageous.' A story of the Grand Banks ... With illustrations by I. W. Taber,"Kipling, Rudyard",True
'Cherry Ripe!' ... New edition,"Mathers, afterwards Reeves, Helen Buckingham",False
